,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,唱念做打是中国戏曲表演的四种艺术手段，也是戏曲表演的四项基本功，其中“做”指的是,舞蹈动作,器械表演,肢体动作,面部表情,B,"answer: wrong (C)
token: 111, 104, 7
time: 0.3s",,"answer: wrong (C)
token: 105, 104, 1
time: 0.5s","answer: wrong (C)
token: 99, 98, 1
time: 0.4s",,,,"answer: wrong (C)
token: 138, 134, 4
time: 1.0s",
1,以下几位诗人中，不是边塞诗人的是,高适,王昌龄,岑参,孟浩然,D,"answer: right
token: 91, 85, 6
time: 0.3s",,"answer: right
token: 86, 85, 1
time: 1.2s","answer: right
token: 79, 78, 1
time: 0.9s",,,,"answer: right
token: 106, 102, 4
time: 0.7s",
2,下面哪个是农历五月的别称,桃月,荷月,榴月,杏月,C,"answer: right
token: 88, 82, 6
time: 0.3s",,"answer: right
token: 83, 82, 1
time: 0.9s","answer: wrong (B)
token: 78, 77, 1
time: 0.7s",,,,"answer: wrong (B)
token: 161, 93, 68
time: 1.3s",
3,“初出茅庐”中的“茅庐”本意是指谁的的住处,诸葛亮,司马迁,刘备,司马光,A,"answer: right
token: 91, 90, 1
time: 0.4s",,"answer: right
token: 91, 90, 1
time: 1.8s","answer: right
token: 88, 87, 1
time: 0.7s",,,,"answer: right
token: 201, 109, 92
time: 1.8s",
4,《霸王别姬》是京剧中的名段，“虞姬”这一角色在京剧中属于,青衣,武生,文丑,花旦,A,"answer: right
token: 97, 91, 6
time: 0.3s",,"answer: right
token: 92, 91, 1
time: 1.5s","answer: right
token: 86, 85, 1
time: 0.7s",,,,"answer: right
token: 185, 113, 72
time: 1.5s",
5,我国古代的很多事物都有自己的雅称，请问我们常说的“润笔”指的是什么,文章书画稿费,替人写稿,为人作序,替人研磨墨汁,A,"answer: right
token: 102, 101, 1
time: 0.2s",,"answer: right
token: 102, 101, 1
time: 0.7s","answer: right
token: 99, 98, 1
time: 0.4s",,,,"answer: right
token: 132, 128, 4
time: 0.8s",
6,“塞”在字典中有如下解释：①塞子；②边关，塞外；③重要的地方；④把窟窿堵住。在“军事要塞”这个词中它应选,①,②,④,③,B,"answer: wrong (D)
token: 122, 117, 5
time: 0.4s",,"answer: wrong (D)
token: 118, 117, 1
time: 2.6s","answer: wrong (D)
token: 103, 102, 1
time: 0.7s",,,,"answer: wrong (D)
token: 249, 130, 119
time: 1.8s",
7,唐朝文宗御封的“三绝”指的是李白的诗歌、张旭的草书和,公孙大娘的舞蹈,裴旻的剑舞,郑板桥的竹,吴道子的画,B,"answer: right
token: 110, 109, 1
time: 0.3s",,"answer: right
token: 110, 109, 1
time: 0.8s","answer: right
token: 101, 100, 1
time: 0.8s",,,,"answer: wrong (D)
token: 140, 136, 4
time: 0.9s",
8,“但使龙城飞将在，不教胡马度阴山”中的“龙城飞将”指的是,汉朝名将李广,赵国名将廉颇,汉朝名将霍去病,三国名将赵云,A,"answer: right
token: 114, 113, 1
time: 0.2s",,"answer: right
token: 114, 113, 1
time: 2.4s","answer: right
token: 107, 106, 1
time: 0.6s",,,,"answer: right
token: 224, 135, 89
time: 1.8s",
9,我们要珍惜现在来之不易的学习机会，不能辜负革命先烈们的,愿望,渴望,期望,盼望,C,"answer: right
token: 92, 88, 4
time: 0.2s",,"answer: right
token: 89, 88, 1
time: 0.6s","answer: right
token: 83, 82, 1
time: 0.8s",,,,"answer: right
token: 114, 110, 4
time: 0.8s",
10,下列字母的排列顺序错误的一组是,UVWXYZ,ABCDEF,JMMKLG,OPQRST,C,"answer: right
token: 79, 78, 1
time: 0.2s",,"answer: right
token: 79, 78, 1
time: 0.6s","answer: right
token: 77, 76, 1
time: 0.7s",,,,"answer: right
token: 103, 99, 4
time: 0.8s",
11,哪个成语典故和棋文化有关,势如破竹,专心致志,泾渭分明,出奇制胜,B,"answer: right
token: 93, 87, 6
time: 0.3s",,"answer: right
token: 88, 87, 1
time: 0.6s","answer: wrong (D)
token: 85, 84, 1
time: 0.6s",,,,"answer: right
token: 229, 103, 126
time: 1.7s",
12,唐代边塞诗人王昌龄的“但使龙城飞将在，不教胡马度阴山”中的“飞将”指的是谁,关羽,卫青,李广,张飞,C,"answer: right
token: 104, 103, 1
time: 0.3s",,"answer: right
token: 104, 103, 1
time: 0.8s","answer: right
token: 98, 97, 1
time: 0.6s",,,,"answer: right
token: 131, 127, 4
time: 0.7s",
13,下列句子中，意思不同的一句是,难道他不会知道这件事吗？,这件事他肯定知道。,这件事他不可能不知道。,他不可能知道这件事。,D,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 1.0s","answer: right
token: 91, 90, 1
time: 0.7s",,,,"answer: wrong (A)
token: 338, 126, 212
time: 2.3s",
14,《三国演义》中的“三英战吕布”的“三英”指的是,刘备，关羽，张飞,赵云，张飞，关羽,刘备，张飞，赵云,刘备，关羽，赵云,A,"answer: right
token: 111, 110, 1
time: 0.3s",,"answer: right
token: 111, 110, 1
time: 0.8s","answer: right
token: 107, 106, 1
time: 0.7s",,,,"answer: right
token: 140, 136, 4
time: 0.7s",
15,下列哪个不是北京的别称,上都,南京,大都,中都,A,"answer: right
token: 77, 76, 1
time: 0.2s",,"answer: wrong (B)
token: 77, 76, 1
time: 6.1s","answer: wrong (B)
token: 72, 71, 1
time: 0.8s",,,,"answer: wrong (B)
token: 92, 88, 4
time: 0.7s",
16,“一门父子三词客，千古文章八大家”这幅对联中提到的“三父子”是,曹操、曹丕、曹植,诸葛亮、诸葛瑾、诸葛诞,苏洵、苏轼、苏辙,班彪、班固、班超,C,"answer: right
token: 119, 118, 1
time: 0.3s",,"answer: right
token: 119, 118, 1
time: 1.1s","answer: right
token: 121, 120, 1
time: 1.0s",,,,"answer: right
token: 159, 155, 4
time: 0.8s",
17,文人对各种植物有自己的偏爱，陶渊明喜爱菊花，北宋文豪苏东坡则说过：宁可食无肉，不可,居无松,居无梅,居无竹,居无菊,C,"answer: right
token: 106, 105, 1
time: 0.3s",,"answer: right
token: 106, 105, 1
time: 0.7s","answer: right
token: 105, 104, 1
time: 0.8s",,,,"answer: right
token: 141, 137, 4
time: 0.7s",
18,下列不是中国经典童话故事的是,神笔马良的故事》,《大林和小林》,《灰姑娘》,《宝葫芦的秘密》,C,"answer: right
token: 94, 93, 1
time: 0.2s",,"answer: right
token: 94, 93, 1
time: 0.5s","answer: right
token: 88, 87, 1
time: 1.0s",,,,"answer: right
token: 197, 118, 79
time: 1.6s",
19,下面哪句话是孔子说的,有朋自远方来，不亦乐乎！,出淤泥而不染，濯清涟而不妖,王侯将相宁有种乎,天下兴亡，匹夫有责,A,"answer: right
token: 110, 109, 1
time: 0.2s",,"answer: right
token: 110, 109, 1
time: 1.3s","answer: right
token: 104, 103, 1
time: 0.9s",,,,"answer: right
token: 142, 138, 4
time: 0.7s",
20,《三国演义》中有关羽“单刀赴会”的故事，历史上也确有“单刀赴会”一事，赴会的是,张飞,赵云,鲁肃,周瑜,C,"answer: right
token: 111, 105, 6
time: 0.3s",,"answer: right
token: 106, 105, 1
time: 0.6s","answer: right
token: 97, 96, 1
time: 0.7s",,,,"answer: right
token: 132, 128, 4
time: 0.8s",
21,落霞与孤鹜齐飞秋水共长天一色”与下列哪座建筑有关,蓬莱阁,滕王阁,黄鹤楼,岳阳楼,B,"answer: right
token: 101, 100, 1
time: 0.2s",,"answer: right
token: 101, 100, 1
time: 1.3s","answer: right
token: 92, 91, 1
time: 0.4s",,,,"answer: right
token: 163, 126, 37
time: 1.0s",
22,《三十六计》是体现我国古代卓越军事思想的一部兵书，下列不属于《三十六计》的是,浑水摸鱼,反客为主,笑里藏刀,反戈一击,D,"answer: right
token: 110, 103, 7
time: 0.3s",,"answer: right
token: 104, 103, 1
time: 0.6s","answer: right
token: 98, 97, 1
time: 0.6s",,,,"answer: wrong (A)
token: 581, 132, 449
time: 4.5s",
23,《尼尔斯骑鹅旅行记》作为9至13岁孩子的通俗的历史和地理读物，具有很强的趣味性。其中，风、河流、城市都成了拟人化的形象，巧妙的比喻更让人耳目一新，如把斯康奈的平坦大地比喻为,“黑色的线穗”,“方格子布”,“长面包和小点心”,“粗麻布”,B,"answer: right
token: 150, 142, 8
time: 0.2s",,"answer: right
token: 143, 142, 1
time: 0.7s","answer: wrong (D)
token: 145, 144, 1
time: 0.4s",,,,"answer: right
token: 353, 200, 153
time: 2.1s",
24,“结发”在古时是指结婚时,妻子把头发束起来,夫妻分别把头发束起来,丈夫把头发束起来,把夫妻头发束在一起,D,"answer: right
token: 97, 96, 1
time: 0.2s",,"answer: right
token: 97, 96, 1
time: 0.7s","answer: right
token: 90, 89, 1
time: 0.8s",,,,"answer: right
token: 126, 122, 4
time: 0.8s",
25,下面哪个字常用作表示顺序的第五位,戊,成,戌,戍,A,"answer: right
token: 77, 76, 1
time: 0.2s",,"answer: right
token: 77, 76, 1
time: 0.6s","answer: right
token: 74, 73, 1
time: 0.8s",,,,"answer: right
token: 167, 93, 74
time: 1.7s",
26,“深浅”这个词由“深”与“浅”这一对反义词组成，下面词语中与它相近的一组是,正反 前后 快慢 良好 输赢,好坏 死活 后退 春秋 曲直,上下 中外 水火 红绿 长远,出入 开关 厚薄 东西 装卸,D,"answer: right
token: 151, 150, 1
time: 0.2s",,"answer: wrong (A)
token: 151, 150, 1
time: 0.9s","answer: right
token: 129, 128, 1
time: 1.0s",,,,"answer: wrong (A)
token: 593, 171, 422
time: 3.5s",
27,“释”这个字用部首查字法应查部首,米,又,木,采,D,"answer: wrong (B)
token: 85, 81, 4
time: 0.3s",,"answer: right
token: 82, 81, 1
time: 0.7s","answer: wrong (A)
token: 76, 75, 1
time: 0.9s",,,,"answer: wrong (C)
token: 91, 87, 4
time: 1.4s",
