,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,下列句中，括号内的词意义解释正确的一句是,好仁者，無以尚之。(尚：时尚),小人懷璧，不可以越鄉。(越：超越),大道之行也，天下爲公，選賢舆能，講信脩睦。(舆：推举),舉儉力孝弟，罰偷廳，而惰民惡之；決獄不避，貴强恶之。(狱：监狱),C,"answer: right
token: 158, 157, 1
time: 0.2s",,"answer: right
token: 158, 157, 1
time: 1.3s","answer: right
token: 152, 151, 1
time: 0.6s","answer: right
token: 1579, 151, 1
time: 8.8s",,"answer: right
token: 211, 207, 4
time: 3.2s","answer: wrong (A)
token: 662, 207, 455
time: 3.9s","answer: right
token: 211, 207, 4
time: 2.0s","answer: wrong (D)
token: 10284, 304, 1
time: 73.0s",
1,按照传统的“六书”体例，“吹”字应属,会意,指事,象形,形声,D,"answer: right
token: 94, 89, 5
time: 0.4s",,"answer: right
token: 90, 89, 1
time: 0.9s","answer: right
token: 80, 79, 1
time: 0.7s","answer: wrong (A)
token: 684, 79, 1
time: 4.4s",,"answer: right
token: 99, 95, 4
time: 2.5s","answer: right
token: 148, 95, 53
time: 1.4s","answer: right
token: 99, 95, 4
time: 1.8s","answer: right
token: 615, 232, 1
time: 3.8s",
2,“辟”和“避”的关系是,繁简字,通假字,古今字,异体字,C,"answer: wrong (D)
token: 90, 84, 6
time: 0.2s",,"answer: right
token: 85, 84, 1
time: 0.8s","answer: wrong (B)
token: 79, 78, 1
time: 0.7s","answer: right
token: 531, 78, 1
time: 3.6s",,"answer: wrong (B)
token: 96, 92, 4
time: 2.4s","answer: right
token: 183, 92, 91
time: 1.5s","answer: right
token: 96, 92, 4
time: 2.7s","answer: wrong (B)
token: 1403, 229, 1
time: 13.7s",
3,下列句中，有名词用作动词的一句是,女股肱周室，以夾輔先王。,我醉，汝道苦我，何故?,單于使使曉武，會論虞常，欲因此時降武。,公子纠敗，召忽死之。,A,"answer: right
token: 127, 126, 1
time: 0.3s",,"answer: wrong (D)
token: 127, 126, 1
time: 1.1s","answer: wrong (C)
token: 121, 120, 1
time: 0.7s","answer: right
token: 1224, 120, 1
time: 7.1s",,"answer: right
token: 465, 148, 317
time: 6.9s","answer: right
token: 484, 148, 336
time: 3.9s","answer: right
token: 413, 148, 265
time: 6.9s","answer: wrong (C)
token: 9997, 270, 1
time: 84.7s",
4,下列句中，“是”充当判断句系词的一句是,客人不知其是商君也。,臣聞七十里爲政於天下者，湯是也。,故外戶而不閉，是謂大同。,輕死而暴，是小人之勇也。,A,"answer: wrong (B)
token: 121, 120, 1
time: 0.3s",,"answer: wrong (D)
token: 121, 120, 1
time: 0.7s","answer: right
token: 121, 120, 1
time: 0.6s","answer: right
token: 1573, 120, 1
time: 9.0s",,"answer: right
token: 469, 147, 322
time: 8.6s","answer: right
token: 462, 147, 315
time: 3.4s","answer: wrong (D)
token: 151, 147, 4
time: 1.6s","answer: wrong (B)
token: 3851, 265, 1
time: 28.8s",
5,大汶口文化中发现有四个与早期汉字结构相似的图形符号，这几个符号属于大汶口文化早期，距今约（）年至5000年,3000,2000,4500,40000,C,"answer: right
token: 124, 117, 7
time: 0.2s",,"answer: right
token: 118, 117, 1
time: 0.6s","answer: right
token: 116, 115, 1
time: 0.6s","answer: right
token: 1532, 115, 1
time: 9.7s",,"answer: right
token: 440, 130, 310
time: 8.9s","answer: wrong (B)
token: 630, 130, 500
time: 4.9s","answer: right
token: 134, 130, 4
time: 2.8s","answer: right
token: 4171, 256, 1
time: 30.1s",
6,下列各组字中是古今字关系的是,错措,沽酤,置寘,睹親,A,"answer: wrong (C)
token: 92, 85, 7
time: 0.3s",,"answer: right
token: 86, 85, 1
time: 1.1s","answer: wrong (C)
token: 79, 78, 1
time: 0.6s","answer: right
token: 1268, 78, 1
time: 7.9s",,"answer: wrong (C)
token: 98, 94, 4
time: 2.7s","answer: right
token: 462, 94, 368
time: 4.3s","answer: wrong (B)
token: 98, 94, 4
time: 2.6s","answer: wrong (C)
token: 609, 233, 1
time: 3.5s",
7,“关雎乐而不淫，哀而不伤。”中的“淫”意思是,不正当的,浸润,过分、过度,淫邪,C,"answer: right
token: 96, 89, 7
time: 0.3s",,"answer: right
token: 90, 89, 1
time: 1.0s","answer: right
token: 86, 85, 1
time: 0.4s","answer: right
token: 468, 85, 1
time: 3.1s",,"answer: right
token: 115, 111, 4
time: 2.7s","answer: right
token: 115, 111, 4
time: 0.9s","answer: right
token: 115, 111, 4
time: 2.3s","answer: right
token: 516, 238, 1
time: 2.9s",
8,“说文四大家”中注重分析字义来源和发展的是,王筠,朱骏声,桂馥,段玉裁,B,"answer: right
token: 95, 89, 6
time: 0.4s",,"answer: right
token: 90, 89, 1
time: 9.7s","answer: wrong (D)
token: 82, 81, 1
time: 0.6s","answer: right
token: 1215, 81, 1
time: 7.6s",,"answer: right
token: 109, 105, 4
time: 2.4s","answer: wrong (D)
token: 175, 105, 70
time: 1.2s","answer: right
token: 109, 105, 4
time: 2.9s","answer: wrong (C)
token: 645, 236, 1
time: 3.6s",
9,“要”和“腰”之间的关系是,异体字,古今字,通假字,古音同,C,"answer: right
token: 90, 84, 6
time: 0.2s",,"answer: right
token: 85, 84, 1
time: 11.6s","answer: right
token: 79, 78, 1
time: 0.6s","answer: wrong (B)
token: 552, 78, 0
time: 3.8s",,"answer: right
token: 97, 93, 4
time: 2.5s","answer: right
token: 97, 93, 4
time: 0.9s","answer: wrong (B)
token: 97, 93, 4
time: 2.4s","answer: wrong (B)
token: 1385, 230, 1
time: 11.3s",
