text1,Qwen Flash,Qwen Plus,Qwen3 max,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
云髻高梳鬓不分，扫除虚室事元君。新糊白纸屏风上，尽画蓬莱五色云。,,,,,,"answer: done
text1:
金炉香散不留痕，玉镜台高奉玉真。
时有仙童来问讯，更闻瑶瑟彻芳辰。
token: 88, 55, 33
time: 1.2s",,,,,
山色摇光入袖凉，松阴十丈印回廊。老僧读罢楞严咒，一殿神风柏子香。,,,,,,"answer: done
text1:
鹤声忽断云霞起，猿啸时惊草木长。
不恋名山无俗念，任随流水送斜阳。
token: 87, 55, 32
time: 1.5s",,,,,
经月愁闻雨，新年苦忆君。青华为客久，白发著书勤。酒共邻僧饮，蔬从野老分。何时共登眺，整屐待晴云。,,,,,,"answer: done
text1:
庭前花正发，莫负好芳辰。
token: 80, 68, 12
time: 1.1s",,,,,
石势虎蹲伏，山形龙屈盘。寺开唐殿阁，坟掩宋衣冠。幽涧泉声细，斜阳塔影寒。近城多战鼓，栖息此中安。,,,,,,"answer: done
text1:
幽涧泉声细，斜阳塔影寒。
近城多战鼓，栖息此中安。
长歌倚古寺，短句寄云山。
尘世纷扰事，暂向此间闲。
遥望炊烟起，思归故里园。
鸡鸣犬吠声，梦里亦阑珊。
token: 148, 71, 77
time: 1.4s",,,,,
相见谈经史，江楼坐夜阑。风声吹屋响，灯影照人寒。俗薄交游尽，时危出处难。衰年逢二妙，亦得闷怀宽。,,,,,,"answer: done
text1:
山河一望渺，岁月几回看。
故园归梦切，海角一帆安。
幸此一杯酒，微凉人未酣。
遥思同契友，月下共凭栏。
token: 120, 71, 49
time: 1.3s",,,,,
绿窗红烛制春衣，宫样花纱要入时。玉手怕裁双凤破，并刀欲下更迟迟。,,,,,,"answer: done
text1:
斜纹锦缎藏珍意，绣线金针试宝姿。
token: 71, 55, 16
time: 1.5s",,,,,
昔年曾见《九华图》，为问江南有也无。今日五溪桥上见，画师犹自欠工夫。,,,,,,"answer: done
text1:
五溪桥畔云烟渺，两岸青山不着书。
当时画师今何在，空留画卷叹当初。
token: 83, 53, 30
time: 1.4s",,,,,
韶华过，春色休。红瘦绿阴稠。花凝恨，柳带愁。泛兰舟。明日寻芳载酒。,,,,,,"answer: done
text1:
舟行碧水，风送香柔。
花弄影，蝶追游。
笑语稠。
明日寻芳载酒。
token: 86, 55, 31
time: 1.5s",,,,,
鸳鸯浦，鹦鹉洲。竹叶小渔舟。烟中树，山外楼。水边鸥。扇面儿、潇湘暮秋。,,,,,,"answer: done
text1:
荷风送，桂香流。断肠歌，旧时愁。扁舟
画桥，月色羞。红绡袖。
token: 88, 58, 30
time: 1.5s",,,,,
花垂露，柳散烟。苏小酒楼前。舞队飞琼佩，游人碾玉鞭。诗句缕金笺。懒上苏堤画船。,,,,,,"answer: done
text1:
花垂露，柳散烟。苏小酒楼前。舞队飞琼佩，游人碾玉鞭。诗句缕金笺。懒上苏堤画船。
**醉闻吴语，闲看燕穿帘。**
token: 115, 62, 53
time: 1.3s",,,,,
代公实英迈，津涯浩难识。拥兵抗矫徵，仗节归有德。纵横负才智，顾盻安社稷。流落勿重陈，怀哉为悽恻。,,,,,,"answer: done
text1:
功业既已成，封侯待时日。
荣华勿多言，高义待后人。
token: 96, 71, 25
time: 1.3s",,,,,
蓬莱失左股，负以垂天翼。中有仙人居，珠宫灿瑶席。凝云不飞去，化作轮囷石。弹琴坐石上，长忆三山客。,,,,,,"answer: done
text1:
三山客不来，琴声寂寥绝。
风吹瑶席散，珠宫亦摧灭。
仙人空长叹，挥泪湿青苔。
遥望渺茫处，愁思入梦来。
token: 121, 70, 51
time: 1.5s",,,,,
视心如莲花，净明涵十虚。出泥本无垢，露体皆真如。大千入一息，晏坐忘百须。陶公虽饮酒，时能到林庐。,,,,,,"answer: done
text1:
道士犹炼丹，神游无止处。
长啸一声动，千山应我呼。
我欲乘风去，万物皆归途。
乾坤朗朗净，寂照养真吾。
token: 121, 71, 50
time: 1.5s",,,,,
驱车晓行迈，行行出郊郭。断冈屹崇墉，虚籁殷灵壑。雨深瑶草长，风定松花落。西山有爽气，逍遥倚晴阁。,,,,,,"answer: done
text1:
时鸟啼幽树，清泉漱石壁。
云散远山净，日迟午景适。
挥手辞故里，把酒对烟蛭。
遥思故人处，情托孤鸿翼。
token: 122, 71, 51
time: 1.3s",,,,,
会稽山水国，崇山幽事多。当时觞咏处，春净花颜酡。磊落黄金罍，玲珑白玉珂。行乐须及时，美人在丘阿。,,,,,,"answer: done
text1:
红颜暗老，珠泪暗落。
浮名空付，白发自嵯峨。
人生如朝露，何足事营销。
不如簪短褐，与子共渔歌。
token: 114, 69, 45
time: 1.8s",,,,,
楼居本高明，况在松竹间。溪流深几尺，新雨过前山。浮云多变态，好鸟亦间关。偃蹇楼中人，对酒还开颜。,,,,,,"answer: done
text1:
幽怀无可诉，聊以寄诗篇。
他日若相遇，把臂共林泉。
token: 95, 71, 24
time: 1.2s",,,,,
