,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,一般认为，望远镜是荷兰的商人发明的，而首位将望远镜用于天文观测的人是,哥白尼,牛顿,开普勒,伽利略,D,"answer: right
token: 99, 98, 1
time: 0.3s",,"answer: right
token: 99, 98, 1
time: 1.6s","answer: right
token: 94, 93, 1
time: 0.8s",,,"answer: right
token: 127, 123, 4
time: 2.3s","answer: right
token: 127, 123, 4
time: 1.2s","answer: right
token: 127, 123, 4
time: 1.6s"
1,仙女星系M31未来会与银河系合为一体，预计汇合的时间约为,4000万年,400万年,400亿年,40亿年,D,"answer: right
token: 109, 102, 7
time: 0.3s",,"answer: right
token: 103, 102, 1
time: 2.0s","answer: wrong (A)
token: 103, 102, 1
time: 0.6s",,,"answer: right
token: 116, 112, 4
time: 3.0s","answer: right
token: 116, 112, 4
time: 0.8s","answer: right
token: 116, 112, 4
time: 4.1s"
2,太阳的绝对星等是,8.6,-26.8,0,4.8,D,"answer: right
token: 87, 81, 6
time: 0.3s",,"answer: right
token: 82, 81, 1
time: 1.5s","answer: wrong (B)
token: 78, 77, 1
time: 0.7s",,,"answer: right
token: 92, 88, 4
time: 2.2s","answer: right
token: 182, 88, 94
time: 2.0s","answer: right
token: 92, 88, 4
time: 2.2s"
3,110个梅西叶天体中，半数以上是,星云,星团,超新星遗迹,星系,B,"answer: wrong (D)
token: 93, 88, 5
time: 0.3s",,"answer: right
token: 89, 88, 1
time: 1.4s","answer: right
token: 83, 82, 1
time: 0.8s",,,"answer: wrong (D)
token: 101, 97, 4
time: 2.7s","answer: right
token: 155, 97, 58
time: 1.1s","answer: right
token: 101, 97, 4
time: 2.9s"
4,在地球上观测周年日行迹的形状很像,1,0,8,S,C,"answer: right
token: 80, 76, 4
time: 0.4s",,"answer: right
token: 77, 76, 1
time: 0.9s","answer: right
token: 75, 74, 1
time: 0.7s",,,"answer: right
token: 92, 88, 4
time: 2.5s","answer: wrong (B)
token: 92, 88, 4
time: 0.9s","answer: right
token: 92, 88, 4
time: 2.7s"
5,以下关于月球的事实哪个最有可能是巧合,月球总是固定的一面朝向地球,在地球上观测月球和太阳看上去差不多大,月球背面的环形山比正面多,月球公转轨道和地球的公转轨道面夹角很小,B,"answer: right
token: 116, 115, 1
time: 0.3s",,"answer: right
token: 116, 115, 1
time: 1.0s","answer: wrong (A)
token: 113, 112, 1
time: 0.7s",,,"answer: right
token: 159, 155, 4
time: 2.3s","answer: wrong (A)
token: 596, 155, 441
time: 4.4s","answer: right
token: 159, 155, 4
time: 2.8s"
6,天狼星的绝对星等为1.5等，太阳的绝对星等与天狼星的绝对星等差（）等,1.5,7.1,-25.3,3.3,D,"answer: wrong (B)
token: 107, 106, 1
time: 0.3s",,"answer: right
token: 107, 106, 1
time: 0.9s","answer: wrong (C)
token: 103, 102, 1
time: 0.8s",,,"answer: right
token: 262, 120, 142
time: 4.3s","answer: right
token: 250, 120, 130
time: 2.0s","answer: right
token: 198, 120, 78
time: 3.4s"
7,2018年8月，系外行星凌星巡天卫星（TESS）观测到了一个星系的亮度变化，在数天时间内其视星等由19等增加到了16等。这是由一颗Ia型超新星爆发所导致的亮度变化，即ASASSN-18tb。假设这个超新星的前身星和参宿四（绝对星等-5等）非常相似，这个星系又很像银河系（大约包含2000亿颗类似太阳的恒星），那么该超新星爆发后亮度大约提升了（）倍,103,108,1011,106,B,"answer: right
token: 212, 206, 6
time: 0.3s",,"answer: wrong (C)
token: 207, 206, 1
time: 0.6s","answer: wrong (A)
token: 8087, 203, 7884
time: 30.9s",,,"answer: right
token: 772, 250, 522
time: 11.5s","answer: wrong (D)
token: 1110, 250, 860
time: 6.8s","answer: wrong (A)
token: 813, 250, 563
time: 12.1s"
8,以下哪颗行星没有卫星,火星,土星,木星,金星,D,"answer: right
token: 83, 78, 5
time: 0.2s",,"answer: right
token: 79, 78, 1
time: 0.8s","answer: right
token: 70, 69, 1
time: 0.8s",,,"answer: right
token: 93, 89, 4
time: 2.5s","answer: right
token: 93, 89, 4
time: 0.7s","answer: right
token: 93, 89, 4
time: 2.3s"
9,以下哪两个星座的天区不相邻,狮子座和小狮座,大犬座和小犬座,双鱼座和鲸鱼座,飞马座和小马座,B,"answer: wrong (C)
token: 103, 102, 1
time: 0.2s",,"answer: right
token: 103, 102, 1
time: 1.4s","answer: right
token: 91, 90, 1
time: 0.6s",,,"answer: right
token: 126, 122, 4
time: 2.5s","answer: wrong (A)
token: 395, 122, 273
time: 2.6s","answer: right
token: 126, 122, 4
time: 2.6s"
10,以下哪两个星座不是相邻的,牧夫座和猎犬座,猎户座和波江座,天琴座和天鹰座,南鱼座和宝瓶座,C,"answer: wrong (B)
token: 100, 99, 1
time: 0.2s",,"answer: right
token: 100, 99, 1
time: 0.6s","answer: right
token: 93, 92, 1
time: 0.5s",,,"answer: right
token: 127, 123, 4
time: 2.4s","answer: wrong (A)
token: 311, 123, 188
time: 2.2s","answer: right
token: 127, 123, 4
time: 2.5s"
11,以下哪种月相出现后不久，潮汐现象最为明显,残月,上弦月,新月,下弦月,C,"answer: right
token: 88, 84, 4
time: 0.2s",,"answer: right
token: 85, 84, 1
time: 0.6s","answer: right
token: 80, 79, 1
time: 0.6s",,,"answer: right
token: 107, 103, 4
time: 2.3s","answer: wrong (A)
token: 364, 103, 261
time: 2.7s","answer: right
token: 107, 103, 4
time: 2.4s"
12,已知织女星的表面温度约9600K，太阳的色指数B-V=0.63。一颗色指数B-V=1.2的主序星，表面温度约,4300K,6000K,28000K,15000K,A,"answer: wrong (D)
token: 137, 128, 9
time: 0.3s",,"answer: right
token: 129, 128, 1
time: 0.8s","answer: right
token: 127, 126, 1
time: 0.9s",,,"answer: wrong (B)
token: 486, 133, 353
time: 7.3s","answer: wrong (B)
token: 499, 133, 366
time: 4.3s","answer: right
token: 137, 133, 4
time: 2.6s"
13,以下哪一项表述最接近人类目前对系外行星卫星的探测情况,系外行星卫星亮度太低，人类不可能探测到,最新发射的空间探测器将有能力探测系外行星卫星,已经探测到超过1万颗系外行星卫星,系外行星卫星不存在,B,"answer: right
token: 121, 120, 1
time: 0.2s",,"answer: right
token: 121, 120, 1
time: 1.0s","answer: right
token: 115, 114, 1
time: 0.5s",,,"answer: right
token: 172, 168, 4
time: 2.6s","answer: wrong (A)
token: 516, 168, 348
time: 3.3s","answer: right
token: 172, 168, 4
time: 2.0s"
14,2019年1月3日，嫦娥四号探测器成功着陆在月球背面内（）的冯·卡门撞击坑内。随后，嫦娥四号着陆器与巡视器玉兔二号顺利分离，玉兔二号抵达月球表面。这是人类首次在月球背面成功软着陆和巡视探测的航天器,南极-艾特肯盆地,金牛-利特罗峡谷,东海盆地,坚忍环形山,A,"answer: right
token: 166, 165, 1
time: 0.3s",,"answer: right
token: 166, 165, 1
time: 0.6s","answer: right
token: 167, 166, 1
time: 0.8s",,,"answer: right
token: 224, 220, 4
time: 3.1s","answer: right
token: 224, 220, 4
time: 0.8s","answer: right
token: 224, 220, 4
time: 2.8s"
15,在2017年记录到的中微子来自一个名为TXS0506+056的星系。星系中心超大质量黑洞所产生的两道喷流中有一道正好对准了地球，它会产生辐射和高能粒子，其中就包括了这次探测到的中微子和带电宇宙线。记录此次数据的是,南极冰立方中微子天文台,地中海中微子天文台,钱德拉X射线天文台,康普顿伽马射线天文台,A,"answer: right
token: 176, 175, 1
time: 0.2s",,"answer: right
token: 176, 175, 1
time: 0.6s","answer: right
token: 170, 169, 1
time: 0.6s",,,"answer: right
token: 223, 219, 4
time: 2.4s","answer: wrong (B)
token: 516, 219, 297
time: 2.8s","answer: right
token: 223, 219, 4
time: 2.6s"
16,以下哪一项不是中国传统的天文仪器,浑仪,简仪,圭表,象限仪,D,"answer: right
token: 89, 82, 7
time: 0.3s",,"answer: right
token: 83, 82, 1
time: 0.6s","answer: right
token: 78, 77, 1
time: 0.6s",,,"answer: right
token: 104, 100, 4
time: 2.1s","answer: right
token: 173, 100, 73
time: 1.5s","answer: right
token: 104, 100, 4
time: 2.8s"
17,我国第一个真正意义上的空间实验室是,天舟一号,天宫二号,天宫一号,神舟十一号,B,"answer: right
token: 93, 86, 7
time: 0.3s",,"answer: wrong (C)
token: 87, 86, 1
time: 0.8s","answer: right
token: 81, 80, 1
time: 0.6s",,,"answer: right
token: 110, 106, 4
time: 3.2s","answer: right
token: 110, 106, 4
time: 1.5s","answer: right
token: 110, 106, 4
time: 2.8s"
18,2022年1月，由中华人民共和国国务院新闻办公室发布的《2021中国的航天》白皮书中，透露了未来中国计划开展的深空探测任务。这不包括,小行星采样返回任务,火星采样返回任务,木星系探测任务,金星采样返回任务,D,"answer: right
token: 130, 129, 1
time: 0.2s",,"answer: right
token: 130, 129, 1
time: 1.3s","answer: right
token: 119, 118, 1
time: 0.7s",,,"answer: right
token: 168, 164, 4
time: 2.7s","answer: wrong (A)
token: 425, 164, 261
time: 2.6s","answer: right
token: 168, 164, 4
time: 1.7s"
19,一颗红巨星的温度为2500K，半径是太阳的100倍，距离10pc，已知该红巨星在可见光波段（400nm≤λ≤700nm）的辐射能量占总光度L的3.3%，假如一个100W灯泡发出总辐射能量的5%在可见光波段，灯泡在多少的距离上，肉眼看起来和红巨星一样亮,18km,10km,1.8km,7km,B,"answer: wrong (C)
token: 181, 174, 7
time: 0.3s",,"answer: wrong (C)
token: 175, 174, 1
time: 1.4s","answer: right
token: 174, 173, 1
time: 0.5s",,,"answer: wrong (D)
token: 1113, 207, 906
time: 14.3s","answer: wrong (D)
token: 1248, 207, 1041
time: 7.7s","answer: wrong (A)
token: 1068, 207, 861
time: 12.5s"
20,2019年唯一的一次日全食在哪个大洲可见,南美洲,亚洲,欧洲,非洲,A,"answer: right
token: 89, 88, 1
time: 0.2s",,"answer: right
token: 89, 88, 1
time: 3.5s","answer: right
token: 81, 80, 1
time: 0.7s",,,"answer: right
token: 108, 104, 4
time: 3.0s","answer: right
token: 108, 104, 4
time: 0.7s","answer: right
token: 108, 104, 4
time: 2.9s"
21,以下彗星中，2017年回归近日点的是,55P/Tempel-Tuttle,2P/Encke,9P/Tempel,C/2013US10（Catalina）,B,"answer: wrong (A)
token: 108, 107, 1
time: 0.2s",,"answer: wrong (D)
token: 108, 107, 1
time: 3.3s","answer: right
token: 105, 104, 1
time: 0.7s",,,"answer: right
token: 121, 117, 4
time: 2.6s","answer: wrong (A)
token: 389, 117, 272
time: 2.8s","answer: right
token: 121, 117, 4
time: 2.5s"
22,以下梅西叶天体中与银河系最相似的是,M87,M82,M32,M31,D,"answer: right
token: 88, 83, 5
time: 0.2s",,"answer: right
token: 84, 83, 1
time: 2.5s","answer: right
token: 82, 81, 1
time: 0.7s",,,"answer: right
token: 95, 91, 4
time: 2.4s","answer: right
token: 95, 91, 4
time: 2.2s","answer: right
token: 95, 91, 4
time: 2.8s"
23,人类最近一次观测到银河系内的超新星爆发是在哪一年,1604,2018,1987,1054,A,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 3.8s","answer: wrong (C)
token: 93, 92, 1
time: 0.6s",,,"answer: right
token: 180, 102, 78
time: 3.1s","answer: right
token: 106, 102, 4
time: 0.7s","answer: right
token: 106, 102, 4
time: 4.3s"
24,小猪佩奇很喜欢玩踩泥巴的游戏，它在地球上的最高纪录是可以让泥巴飞1m高。一天，它来到了一颗材质与地球相似的陌生星球旅行，又玩起了踩泥巴的游戏。只见它用力一踩，泥巴直冲云霄，刚好飞离星球，再也没有回来。那么这颗星球的质量约为,8.5×10^{24}kg,3.6×10^{18}kg,3.7×10^{14}kg,22×10^{19}kg,C,"answer: wrong (B)
token: 195, 181, 14
time: 0.4s",,"answer: right
token: 182, 181, 1
time: 3.1s","answer: wrong (A)
token: 182, 181, 1
time: 0.7s",,,"answer: right
token: 874, 247, 627
time: 12.4s","answer: wrong (B)
token: 1033, 247, 786
time: 7.0s","answer: wrong (A)
token: 1109, 247, 862
time: 14.5s"
25,木星的卫星中体积最大的是,木卫二,木卫三,木卫一,木卫四,B,"answer: right
token: 89, 83, 6
time: 0.2s",,"answer: right
token: 84, 83, 1
time: 4.4s","answer: right
token: 76, 75, 1
time: 0.6s",,,"answer: right
token: 101, 97, 4
time: 2.7s","answer: right
token: 140, 97, 43
time: 1.0s","answer: right
token: 101, 97, 4
time: 3.1s"
26,如果太阳风每秒从太阳表面吹出的粒子数是n=1×10^{36}，且因为核心氢的核聚变反应，太阳的质量也在同时减少，则太阳风与核聚变的质量损失率之比最接近的是。（已知：太阳光度3.8×10^{26}W，电子质量9.1×10^{-31}kg，质子质量1.7×10^{-27}kg。）,1:50,1:5,2:50,2:5,B,"answer: wrong (A)
token: 180, 179, 1
time: 0.2s",,"answer: wrong (A)
token: 180, 179, 1
time: 2.8s","answer: wrong (A)
token: 177, 176, 1
time: 0.6s",,,"answer: wrong (C)
token: 991, 219, 772
time: 14.1s","answer: wrong (C)
token: 789, 219, 570
time: 3.8s","answer: wrong (C)
token: 800, 219, 581
time: 9.8s"
27,氢元素在宇宙中不可能存在的形态包括,H2,HII,HI,HIII,D,"answer: right
token: 77, 76, 1
time: 0.3s",,"answer: right
token: 77, 76, 1
time: 0.7s","answer: right
token: 73, 72, 1
time: 0.6s",,,"answer: right
token: 306, 93, 213
time: 6.3s","answer: wrong (A)
token: 311, 93, 218
time: 2.6s","answer: right
token: 97, 93, 4
time: 2.0s"
28,几条氢吸收线的实验室静止波长分别为410nm、434nm、486nm和656nm。天文学家对一个遥远的星系进行了光谱观测，观测结果显示这些相同谱线的波长分别为492nm、521nm、583nm和787nm。请问这个星系的退行速度是多少倍光速,0.16,0.22,0.2,0.18,D,"answer: wrong (A)
token: 167, 166, 1
time: 0.2s",,"answer: wrong (C)
token: 167, 166, 1
time: 2.0s","answer: wrong (A)
token: 162, 161, 1
time: 0.5s",,,"answer: wrong (C)
token: 615, 182, 433
time: 8.1s","answer: wrong (C)
token: 515, 182, 333
time: 3.2s","answer: wrong (C)
token: 766, 182, 584
time: 11.3s"
29,1000颗6等星聚集在一起的星等近似（）等,-1.5,1,-0.5,6000,A,"answer: right
token: 93, 92, 1
time: 0.2s",,"answer: right
token: 93, 92, 1
time: 2.5s","answer: right
token: 89, 88, 1
time: 0.7s",,,"answer: right
token: 437, 98, 339
time: 7.9s","answer: right
token: 347, 98, 249
time: 2.5s","answer: right
token: 253, 98, 155
time: 4.0s"
30,目前得到确认的人类最古老的天文观象台是,位于中国北京的古观象台,位于中国临汾的陶寺遗址,位于中国安阳的殷墟遗址,位于英国威尔特郡的巨石阵,C,"answer: wrong (B)
token: 109, 108, 1
time: 0.2s",,"answer: wrong (B)
token: 109, 108, 1
time: 0.6s","answer: wrong (B)
token: 109, 108, 1
time: 0.7s",,,"answer: wrong (B)
token: 148, 144, 4
time: 2.7s","answer: wrong (B)
token: 148, 144, 4
time: 1.2s","answer: wrong (B)
token: 148, 144, 4
time: 1.8s"
31,假设有一个遥远且与地球等同的系外行星上有着一个与地球等同的文明，如果那里的人们想通过测量地球大气的光谱来确定地球是否存在生命，他们所观测到的光谱中与类地生命相关的最为显著的谱线来自于,自由氧离子,中性氧原子,氧气分子,臭氧分子,D,"answer: right
token: 143, 137, 6
time: 0.3s",,"answer: wrong (C)
token: 138, 137, 1
time: 0.7s","answer: wrong (C)
token: 130, 129, 1
time: 0.5s",,,"answer: wrong (A)
token: 611, 186, 425
time: 10.4s","answer: wrong (A)
token: 549, 186, 363
time: 3.7s","answer: right
token: 190, 186, 4
time: 2.6s"
32,以下关于银河系的说法正确的是,太阳位于银河系的英仙臂上,天文学家通过对恒星的观测发现银河系外盘有惊人的翘曲结构,银心黑洞的质量约为40万个太阳质量,银心位于半人马座方向,B,"answer: right
token: 120, 119, 1
time: 0.3s",,"answer: right
token: 120, 119, 1
time: 0.8s","answer: right
token: 118, 117, 1
time: 0.7s",,,"answer: right
token: 162, 158, 4
time: 2.9s","answer: wrong (A)
token: 428, 158, 270
time: 2.6s","answer: right
token: 162, 158, 4
time: 2.7s"
33,下列哪个选项是日全食发生的北京时间,26/12/2019,21/06/2020,11/08/2018,03/07/2019,A,"answer: wrong (C)
token: 113, 112, 1
time: 0.2s",,"answer: wrong (B)
token: 113, 112, 1
time: 0.7s","answer: wrong (B)
token: 111, 110, 1
time: 0.7s",,,"answer: wrong (B)
token: 114, 110, 4
time: 2.8s","answer: wrong (C)
token: 114, 110, 4
time: 0.8s","answer: wrong (B)
token: 114, 110, 4
time: 1.9s"
34,1838年，德国天文学家贝塞尔利用高自行的天鹅座61双星首次测得了恒星视差，观测表明它的视差为0.31″，距离我们约,100光年,10光年,310秒差距,1秒差距,B,"answer: wrong (D)
token: 131, 125, 6
time: 0.3s",,"answer: right
token: 126, 125, 1
time: 0.9s","answer: wrong (C)
token: 124, 123, 1
time: 0.7s",,,"answer: right
token: 284, 144, 140
time: 4.8s","answer: wrong (A)
token: 365, 144, 221
time: 2.2s","answer: right
token: 277, 144, 133
time: 4.2s"
35,中国传统的二十四节气体系是根据哪一现象制定的,地球自转,月亮的周期视运动,太阳在黄道上的视运动,行星的会合周期运动,C,"answer: right
token: 111, 100, 11
time: 0.3s",,"answer: right
token: 101, 100, 1
time: 0.8s","answer: right
token: 94, 93, 1
time: 0.6s",,,"answer: right
token: 129, 125, 4
time: 2.2s","answer: right
token: 129, 125, 4
time: 1.2s","answer: right
token: 129, 125, 4
time: 1.7s"
36,在地球上观测，下列哪种情况不可能发生,火星比木星亮,行星中水星距离地球最近,一年出现3次金星大距,一年出现4次日食,A,"answer: wrong (C)
token: 101, 100, 1
time: 0.2s",,"answer: wrong (C)
token: 101, 100, 1
time: 0.9s","answer: wrong (D)
token: 97, 96, 1
time: 0.6s",,,"answer: right
token: 468, 123, 345
time: 8.8s","answer: right
token: 528, 123, 405
time: 4.3s","answer: wrong (C)
token: 127, 123, 4
time: 1.6s"
37,以下哪个深空天体在天球上离天津四最近,M35,NGC7000,NGC7293,M27,B,"answer: right
token: 99, 91, 8
time: 0.4s",,"answer: right
token: 92, 91, 1
time: 0.7s","answer: right
token: 86, 85, 1
time: 0.6s",,,"answer: right
token: 97, 93, 4
time: 2.5s","answer: wrong (A)
token: 388, 93, 295
time: 4.1s","answer: right
token: 97, 93, 4
time: 1.6s"
38,在北纬30°地区观测，春分当天日落时黄道与地平线的夹角大约是,53°26′,83°26′,63°26′,23°26′,B,"answer: wrong (C)
token: 121, 112, 9
time: 0.7s",,"answer: wrong (C)
token: 113, 112, 1
time: 0.6s","answer: right
token: 109, 108, 1
time: 0.8s",,,"answer: right
token: 395, 116, 279
time: 6.3s","answer: right
token: 448, 116, 332
time: 5.6s","answer: wrong (A)
token: 331, 116, 215
time: 5.9s"
39,在观测场地，你会看到有的爱好者像海盗一样用眼罩挡着一只惯用眼，他们是在,锻炼眼睛的对焦能力,在各处走动时保护暗夜视力,观测途中让眼睛放松休息,在玩角色扮演游戏,B,"answer: right
token: 112, 111, 1
time: 0.2s",,"answer: right
token: 112, 111, 1
time: 1.5s","answer: wrong (A)
token: 110, 109, 1
time: 0.4s",,,"answer: right
token: 166, 162, 4
time: 2.5s","answer: right
token: 409, 162, 247
time: 3.1s","answer: right
token: 166, 162, 4
time: 2.9s"
40,2021年12月25日，哪一个空间望远镜顺利升空，计划在2022年5、6月份正式投入使用。（）,亚瑟·爱丁顿,问天,尤金·帕克,詹姆斯·韦布,D,"answer: right
token: 119, 118, 1
time: 0.2s",,"answer: right
token: 119, 118, 1
time: 0.7s","answer: right
token: 117, 116, 1
time: 0.6s",,,"answer: right
token: 147, 143, 4
time: 2.3s","answer: right
token: 147, 143, 4
time: 0.7s","answer: right
token: 147, 143, 4
time: 2.5s"
41,最近一次金星西大距出现在今年,3月,2月,4月,5月,A,"answer: wrong (B)
token: 85, 80, 5
time: 0.2s",,"answer: right
token: 81, 80, 1
time: 1.5s","answer: wrong (C)
token: 77, 76, 1
time: 0.6s",,,"answer: right
token: 94, 90, 4
time: 2.6s","answer: wrong (B)
token: 380, 90, 290
time: 3.5s","answer: right
token: 94, 90, 4
time: 4.2s"
42,两个天体之间万有引力的大小，与它们的质量,成平方反比,成正比,成平方正比,成反比,B,"answer: right
token: 91, 86, 5
time: 0.3s",,"answer: right
token: 87, 86, 1
time: 0.6s","answer: right
token: 84, 83, 1
time: 0.5s",,,"answer: right
token: 108, 104, 4
time: 3.3s","answer: right
token: 108, 104, 4
time: 0.8s","answer: right
token: 108, 104, 4
time: 2.7s"
43,以下哪项不是公开发行的以天文爱好者为主要读者群的杂志,Astronomer,AstronomyNow,Sky&Telescope,天文爱好者,A,"answer: right
token: 87, 86, 1
time: 0.2s",,"answer: right
token: 87, 86, 1
time: 0.9s","answer: wrong (D)
token: 84, 83, 1
time: 0.7s",,,"answer: right
token: 117, 113, 4
time: 2.3s","answer: right
token: 194, 113, 81
time: 1.2s","answer: right
token: 117, 113, 4
time: 2.4s"
44,以下人造天体中轨道高度最高的是,地球同步轨道卫星,太阳同步轨道卫星,国际空间站,哈勃空间望远镜,A,"answer: right
token: 94, 93, 1
time: 0.2s",,"answer: right
token: 94, 93, 1
time: 1.3s","answer: wrong (B)
token: 86, 85, 1
time: 0.6s",,,"answer: right
token: 124, 120, 4
time: 2.8s","answer: right
token: 209, 120, 89
time: 1.2s","answer: right
token: 124, 120, 4
time: 2.1s"
