,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,女性生殖腺是,卵巢,前庭大腺,前庭球,乳腺,A,"answer: right
token: 82, 81, 1
time: 0.3s",,"answer: right
token: 82, 81, 1
time: 0.7s","answer: right
token: 73, 72, 1
time: 0.6s","answer: right
token: 336, 72, 1
time: 2.2s",,"answer: right
token: 98, 94, 4
time: 2.4s","answer: right
token: 166, 94, 72
time: 1.4s","answer: right
token: 98, 94, 4
time: 1.7s","answer: right
token: 391, 225, 1
time: 1.8s","answer: right
token: 238, 237, 1
time: 0.8s"
1,直接和语言活动有关的中枢,额中回后分,顶上小叶缘上回,额下回后分,角回,C,"answer: right
token: 101, 92, 9
time: 0.3s",,"answer: right
token: 93, 92, 1
time: 0.6s","answer: wrong (D)
token: 85, 84, 1
time: 0.3s","answer: right
token: 13870, 84, 1
time: 76.4s",,"answer: right
token: 107, 103, 4
time: 2.3s","answer: right
token: 107, 103, 4
time: 0.8s","answer: right
token: 107, 103, 4
time: 2.6s","answer: right
token: 562, 237, 1
time: 3.1s","answer: right
token: 250, 249, 1
time: 0.7s"
2,甲状腺的动脉来自,颈内动脉,颈外动脉,锁骨下动脉的分支,颈总动脉,D,"answer: wrong (B)
token: 92, 85, 7
time: 0.3s",,"answer: wrong (B)
token: 86, 85, 1
time: 0.6s","answer: wrong (B)
token: 81, 80, 1
time: 0.6s","answer: wrong (B)
token: 12433, 80, 1
time: 71.5s",,"answer: wrong (B)
token: 112, 108, 4
time: 2.4s","answer: wrong (B)
token: 250, 108, 142
time: 2.1s","answer: wrong (B)
token: 112, 108, 4
time: 2.7s","answer: wrong (B)
token: 3352, 237, 1
time: 24.3s","answer: wrong (B)
token: 250, 249, 1
time: 0.7s"
3,脑膜中动脉直接起于,大脑中动脉,颈内动脉,颈外动脉,上颌动脉,D,"answer: right
token: 90, 85, 5
time: 0.3s",,"answer: right
token: 86, 85, 1
time: 3.4s","answer: wrong (C)
token: 79, 78, 1
time: 0.6s","answer: right
token: 309, 78, 1
time: 2.4s",,"answer: right
token: 109, 105, 4
time: 2.2s","answer: wrong (C)
token: 109, 105, 4
time: 0.8s","answer: right
token: 109, 105, 4
time: 2.4s","answer: right
token: 492, 235, 1
time: 2.2s","answer: right
token: 248, 247, 1
time: 0.6s"
4,听觉中枢位于,角回,颞横回,中央后回,中央前回,B,"answer: right
token: 80, 79, 1
time: 0.2s",,"answer: right
token: 80, 79, 1
time: 7.0s","answer: right
token: 73, 72, 1
time: 0.3s","answer: right
token: 321, 72, 0
time: 2.0s",,"answer: right
token: 94, 90, 4
time: 2.9s","answer: right
token: 94, 90, 4
time: 0.8s","answer: right
token: 94, 90, 4
time: 2.7s","answer: right
token: 428, 228, 1
time: 2.2s","answer: right
token: 241, 240, 1
time: 0.7s"
5,卵圆窝位于,右心室,左心房,左心室,右心房,D,"answer: right
token: 85, 79, 6
time: 0.3s",,"answer: right
token: 80, 79, 1
time: 7.0s","answer: wrong (B)
token: 73, 72, 1
time: 0.6s","answer: right
token: 323, 72, 1
time: 2.0s",,"answer: right
token: 92, 88, 4
time: 2.5s","answer: right
token: 202, 88, 114
time: 1.7s","answer: right
token: 92, 88, 4
time: 2.0s","answer: right
token: 434, 227, 1
time: 1.9s","answer: right
token: 240, 239, 1
time: 0.8s"
6,关于膀胱说法正确的是,膀胱尖处为尿道内口,属于腹膜内位器官,膀胱颈的后方有前列腺,空虚时位于小骨盆腔内,D,"answer: right
token: 106, 105, 1
time: 0.3s",,"answer: right
token: 106, 105, 1
time: 0.6s","answer: right
token: 99, 98, 1
time: 0.6s","answer: right
token: 496, 98, 1
time: 2.9s",,"answer: right
token: 135, 131, 4
time: 2.5s","answer: right
token: 135, 131, 4
time: 1.6s","answer: right
token: 135, 131, 4
time: 2.4s","answer: right
token: 793, 252, 1
time: 5.5s","answer: right
token: 265, 264, 1
time: 0.7s"
7,肱骨体后面中份有,大结节,桡神经沟,小结节,尺神经沟,B,"answer: right
token: 91, 84, 7
time: 0.3s",,"answer: right
token: 85, 84, 1
time: 0.8s","answer: right
token: 78, 77, 1
time: 0.6s","answer: right
token: 308, 77, 1
time: 2.0s",,"answer: right
token: 100, 96, 4
time: 2.5s","answer: right
token: 162, 96, 66
time: 1.3s","answer: right
token: 100, 96, 4
time: 2.7s","answer: right
token: 447, 230, 1
time: 2.2s","answer: right
token: 243, 242, 1
time: 0.7s"
8,肾筋膜把肾旁脂肪和肾周脂肪隔开，能防止感染扩散至下列位置，但（）除外,膈下间隙,网膜囊,腹膜腔的结肠下区,小骨盆,D,"answer: right
token: 116, 110, 6
time: 0.3s",,"answer: right
token: 111, 110, 1
time: 0.4s","answer: wrong (C)
token: 104, 103, 1
time: 0.8s","answer: right
token: 1680, 103, 1
time: 10.3s",,"answer: right
token: 146, 142, 4
time: 2.4s","answer: wrong (A)
token: 550, 142, 408
time: 3.8s","answer: right
token: 146, 142, 4
time: 2.5s","answer: right
token: 6354, 254, 1
time: 45.4s","answer: wrong (C)
token: 267, 266, 1
time: 0.6s"
9,唯一完整成环的喉软骨是,会厌软骨,环状软骨,勺状软骨,甲状软骨,B,"answer: right
token: 99, 91, 8
time: 0.2s",,"answer: right
token: 92, 91, 1
time: 0.6s","answer: right
token: 83, 82, 1
time: 0.6s","answer: right
token: 320, 82, 1
time: 2.1s",,"answer: right
token: 109, 105, 4
time: 3.0s","answer: right
token: 195, 105, 90
time: 1.4s","answer: right
token: 109, 105, 4
time: 3.2s","answer: right
token: 455, 236, 1
time: 2.1s","answer: right
token: 249, 248, 1
time: 0.6s"
