,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,现已建成的核电站的能量来⾃于,重核裂变放出的能量,⼈⼯放射性同位素放出的的能量,天然放射性元素衰变放出的能量,化学反应放出的能量,A,"answer: right
token: 106, 105, 1
time: 0.3s",,,"answer: right
token: 102, 101, 1
time: 0.4s",,,,"answer: right
token: 140, 136, 4
time: 1.0s",,"answer: right
token: 483, 258, 1
time: 2.4s",
1,下列现象中，属于⽤热传递的⽅式改变物体内能的是,两⼿互相摩擦时⼿发热,在炉⼦上烧开⽔,菜⼑在砂轮上磨得发烫,⽤打⽓筒打⽓时筒壁发热,B,"answer: right
token: 118, 117, 1
time: 0.2s",,,"answer: right
token: 123, 122, 1
time: 0.6s",,,,"answer: wrong (A)
token: 409, 161, 248
time: 2.1s",,"answer: right
token: 872, 280, 1
time: 5.5s",
2,⼀名观察者站在站台边，⽕⻋进站从他身边经过，⽕⻋共10节⻋厢，当第10节⻋厢完全经过他身边时，⽕⻋刚好停下。设⽕⻋做匀减速直线运动且每节⻋厢⻓度相同，则第8节和第9节⻋厢从他身边经过所⽤ 时间的⽐值为,sqrt(3):sqrt(2),(sqrt(2)-1):(sqrt(3)-sqrt(2)),(sqrt(3)-sqrt(2)):(sqrt(2)-1),sqrt(2):sqrt(3),C,"answer: right
token: 199, 198, 1
time: 0.2s",,,"answer: right
token: 216, 215, 1
time: 0.8s",,,,"answer: wrong (A)
token: 1278, 249, 1029
time: 8.7s",,"answer: right
token: 3917, 363, 1
time: 22.5s",
3,关于电场，下列说法中正确的是,电场是为了便于研究电荷的运动⽽引⼊的理想模,电荷间的相互作⽤不是通过电场作媒介产⽣的,电荷周围分布的电场线就是电场,电场是电荷周围空间实际存在的物质,D,"answer: right
token: 124, 123, 1
time: 0.2s",,,"answer: right
token: 120, 119, 1
time: 0.7s",,,,"answer: wrong (A)
token: 454, 166, 288
time: 3.1s",,"answer: wrong (A)
token: 738, 280, 1
time: 4.5s",
4,下列关于紫外线的⼏种说法中，正确的是,紫外线可使钞票上的荧光物质发光,紫外线的频率⽐红外线的频率低,利⽤紫外线可以进⾏电视机等电器的遥控,紫外线是⼀种紫⾊的可⻅光,A,"answer: right
token: 126, 125, 1
time: 0.2s",,,"answer: right
token: 124, 123, 1
time: 0.7s",,,,"answer: right
token: 471, 168, 303
time: 3.1s",,"answer: right
token: 609, 283, 1
time: 2.9s",
5,关于功和能的联系和区别，下列说法中不正确的是,功是过程量，能是状态量,功是能量转化的量度,做功的过程总对应着能量的转化过程,功就是能，能就是功,D,"answer: right
token: 113, 112, 1
time: 0.3s",,,"answer: right
token: 107, 106, 1
time: 0.7s",,,,"answer: right
token: 139, 135, 4
time: 0.9s",,"answer: right
token: 586, 257, 1
time: 3.1s",
6,下列说法正确的是,光速不变原理是狭义相对论的两个基本假设之⼀,光在介质中的速度⼤于光在真空中的速度,变化的电场⼀定产⽣变化的磁场；变化的磁场⼀定产⽣变化的电场,拍摄玻璃橱窗内的物品时，往往在镜头前加⼀个偏振⽚以增加透射光的强度,A,"answer: right
token: 146, 145, 1
time: 0.3s",,,"answer: right
token: 142, 141, 1
time: 1.2s",,,,"answer: right
token: 604, 204, 400
time: 3.1s",,"answer: right
token: 2783, 307, 1
time: 19.0s",
7,两个质量相等的物体分别沿⾼度相同但倾⻆不同的光滑斜⾯从顶端⾃由下滑到底端，在此过程中两物体具有相同的物理量是,动量的变化,合⼒的冲量,速率的变化,重⼒的冲量,C,"answer: right
token: 119, 114, 5
time: 0.4s",,,"answer: wrong (D)
token: 111, 110, 1
time: 0.8s",,,,"answer: wrong (A)
token: 665, 162, 503
time: 4.4s",,"answer: right
token: 2072, 273, 1
time: 15.3s",
8,关于瞬时速度，下列说法正确的是,是物体在某段时间内的速度,是物体在通过某⼀段位移过程中的速度,以上说法均正确,是物体通过某⼀位置时的速度,D,"answer: right
token: 101, 100, 1
time: 0.3s",,,"answer: right
token: 96, 95, 1
time: 0.6s",,,,"answer: right
token: 142, 138, 4
time: 0.8s",,"answer: right
token: 532, 251, 1
time: 2.4s",
9,⽓体内能是所有⽓体分⼦热运动动能和势能的总和，其⼤⼩与⽓体的状态有关，分⼦热运动的平均动能与分⼦间势能分别取决于⽓体的,压强和温度,体积和压强,温度和压强,温度和体积,D,"answer: right
token: 138, 131, 7
time: 0.3s",,,"answer: right
token: 130, 129, 1
time: 0.6s",,,,"answer: right
token: 439, 165, 274
time: 2.6s",,"answer: right
token: 1047, 285, 1
time: 6.5s",
10,关于曲线运动，下列说法中正确的是,曲线运动也可以是速度不变的运动,变速运动⼀定是曲线运动,曲线运动⼀定是变速运动,速率不变的曲线运动是匀速运动,C,"answer: right
token: 107, 106, 1
time: 0.2s",,,"answer: right
token: 100, 99, 1
time: 0.7s",,,,"answer: wrong (A)
token: 583, 145, 438
time: 3.5s",,"answer: wrong (A)
token: 4322, 257, 1
time: 32.6s",
11,⽤⼀束紫外线照射某⾦属时不能产⽣光电效应，可能使该⾦属产⽣光电效应的措施是,改⽤频率更⼩的紫外线照射,延⻓原紫外线的照射时间,改⽤强度更⼤的原紫外线照射,改⽤X射线照射,D,"answer: right
token: 124, 123, 1
time: 0.2s",,,"answer: right
token: 130, 129, 1
time: 0.7s",,,,"answer: wrong (A)
token: 480, 176, 304
time: 2.7s",,"answer: right
token: 612, 300, 1
time: 2.7s",
12,关于作⽤⼒和反作⽤⼒，下列说法正确的是,弹⼒与摩擦⼒都有反作⽤⼒，⽽重⼒⽆反作⽤⼒,作⽤⼒与反作⽤⼒的合⼒为零,作⽤⼒与反作⽤⼒⼀定是性质相同的⼀对⼒,当作⽤⼒产⽣后，再产⽣反作⽤⼒；当作⽤⼒消失后，反作⽤⼒才慢慢的消失,C,"answer: right
token: 156, 155, 1
time: 0.2s",,,"answer: right
token: 157, 156, 1
time: 0.7s",,,,"answer: wrong (A)
token: 628, 249, 379
time: 5.2s",,"answer: wrong (B)
token: 2167, 370, 1
time: 13.7s",
13,爱因斯坦提出了质能⽅程，揭示了质量与能量的关系，关于质能⽅程，下列说法正确的是,mc2是物体能够放出能量的总和,当物体向外释放能量时，其质量必定减少，且减少的质量Δm与释放的能量ΔE满⾜ΔE＝Δmc^2,质量和能量可以相互转化,如果物体的能量增加了ΔE，那么它的质量相应减少Δm，并且ΔE＝Δmc^2,B,"answer: right
token: 161, 160, 1
time: 0.2s",,,"answer: wrong (C)
token: 159, 158, 1
time: 0.6s",,,,"answer: wrong (A)
token: 635, 236, 399
time: 3.7s",,"answer: right
token: 1299, 311, 1
time: 8.0s",
14,把三个都是12Ω的电阻采⽤串连、并联或混联都不可能获得的阻值是,24Ω,36Ω,8Ω,18Ω,A,"answer: wrong (C)
token: 100, 99, 1
time: 0.3s",,,"answer: wrong (D)
token: 95, 94, 1
time: 0.7s",,,,"answer: right
token: 587, 120, 467
time: 3.7s",,"answer: right
token: 1337, 243, 1
time: 11.8s",
15,下⾯是四种与光有关的事实：A⽤光导纤维传播信号；B⽤透明的标准样板和单⾊光检查平⾯的平整度；C⼀束⽩光通过三棱镜形成彩⾊光带；D⽔⾯上的油膜呈现彩⾊。其中，与光的⼲涉有关的是,BC,AD,BD,AC,C,"answer: right
token: 133, 130, 3
time: 0.2s",,,"answer: right
token: 142, 141, 1
time: 0.6s",,,,"answer: wrong (A)
token: 551, 187, 364
time: 4.0s",,"answer: right
token: 562, 302, 1
time: 2.4s",
