,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,以下情形中应当数罪并罚的是,丙无证驾车，在被交警查处时使用暴力抗拒执法，失手将交警打死,丁开地下卷烟厂，制售劣质卷烟数量巨大，在县联合执法队前来查处时，组织数十村民围攻执法人员，迫使执法队暂时撤离,甲为迫使不满 18 周岁的未成年女子卖淫而对其实施强奸,乙非法拘禁债务人张某 10 天，期间屡次毒打张某，致张某伤残,B,"answer: wrong (C)
token: 171, 170, 1
time: 0.2s",,"answer: wrong (D)
token: 171, 170, 1
time: 2.3s","answer: wrong (A)
token: 182, 181, 1
time: 0.8s",,,,"answer: wrong (A)
token: 754, 250, 504
time: 5.1s","answer: right
token: 254, 250, 4
time: 1.7s","answer: wrong (D)
token: 1976, 328, 3
time: 14.4s",
1,甲偷割正在使用中的高速公路紧急信息警示屏的电源线，价值 5000 元，甲的行为应认定为,盗窃罪,故意毁坏财物罪,破坏交通设施罪,破坏交通工具罪,C,"answer: right
token: 121, 112, 9
time: 0.3s",,"answer: right
token: 113, 112, 1
time: 1.0s","answer: right
token: 107, 106, 1
time: 0.8s",,,,"answer: wrong (A)
token: 508, 148, 360
time: 3.6s","answer: right
token: 152, 148, 4
time: 2.0s","answer: right
token: 1556, 254, 1
time: 11.3s",
2,甲到某银行办理业务发现李某使用 ATM 机后忘记拔卡，遂用李某的银行卡连续取款共 12000 元。李某收到取款提示短信后返回银行，要求正在取款的甲交还钱款，甲转身逃跑并将尾随追赶的李某打成轻微伤，甲的行为应认定为,侵占罪,信用卡诈骗罪,盗窃罪,抢劫罪,D,"answer: right
token: 155, 149, 6
time: 0.3s",,"answer: right
token: 150, 149, 1
time: 0.6s","answer: wrong (C)
token: 154, 153, 1
time: 0.6s",,,,"answer: right
token: 580, 213, 367
time: 3.9s","answer: right
token: 594, 213, 381
time: 8.2s","answer: right
token: 1204, 300, 3
time: 8.7s",
3,下列关于刑法因果关系的说法中，正确的是,因果关系的存在是行为人承担刑事责任的充分条件,不作为犯罪中不作为与危害结果之间的因果关系是客观存在的,因果关系的认定必须考虑行为人的主观认识,危害行为与危害结果之间存在条件关系即可认定因果关系的存在,B,"answer: right
token: 126, 125, 1
time: 0.2s",,"answer: right
token: 126, 125, 1
time: 0.9s","answer: right
token: 125, 124, 1
time: 0.5s",,,,"answer: wrong (A)
token: 612, 188, 424
time: 3.9s","answer: right
token: 192, 188, 4
time: 3.2s","answer: right
token: 1002, 277, 1
time: 7.3s",
4,监护人有权处理被监护人财产的法定情形是,经被监护人所在地的基层组织同意,为被监护人的利益,经被监护人同意,发生经济情况,B,"answer: right
token: 99, 98, 1
time: 0.2s",,"answer: right
token: 99, 98, 1
time: 1.0s","answer: right
token: 100, 99, 1
time: 0.7s",,,,"answer: right
token: 127, 123, 4
time: 0.8s","answer: right
token: 127, 123, 4
time: 2.7s","answer: right
token: 1366, 249, 1
time: 9.9s",
5,画家甲丧偶后，独自抚养儿子乙。某日，甲将自己的一幅画交给朋友丙保管，嘱托丙待自己去世后烧毁该画作。甲去世后，丙违背甲的嘱托，将画作交拍卖公司拍卖，得款50万元。该50万元应当,归国家所有,归乙所有,归丙所有,由乙、丙平分,B,"answer: right
token: 152, 146, 6
time: 0.2s",,"answer: right
token: 147, 146, 1
time: 0.7s","answer: right
token: 145, 144, 1
time: 0.5s",,,,"answer: right
token: 580, 200, 380
time: 3.8s","answer: right
token: 204, 200, 4
time: 2.6s","answer: right
token: 676, 291, 1
time: 4.4s",
6,甲与某影视公司签订合同，约定甲两年内完成一部电视剧剧本，影视公司支付稿酬 50 万。后甲将请求支付稿酬的权利转让给乙。甲请求支付稿酬的权利,经影视公司同意才可以转让,依合同性质不得转让,在转让合同生效时发生转让,在转让通知到达影视公司时发生转让,C,"answer: wrong (D)
token: 135, 134, 1
time: 0.2s",,"answer: wrong (D)
token: 135, 134, 1
time: 1.0s","answer: wrong (D)
token: 140, 139, 1
time: 0.6s",,,,"answer: wrong (A)
token: 548, 198, 350
time: 3.6s","answer: wrong (D)
token: 202, 198, 4
time: 2.4s","answer: wrong (D)
token: 1214, 283, 1
time: 8.5s",
7,甲在其制作的玉米馒头中违规超量添加色素，销售金额累计达22万元。此种色素为合法食品添加剂，超量使用不足以造成严重食物中毒事故或者其他严重食源性疾病。甲的行为应认定为,生产、销售不符合安全标准的食品罪,不构成犯罪,生产、销售有毒、有害食品罪,生产、销售伪劣产品罪,D,"answer: right
token: 147, 137, 10
time: 0.3s",,"answer: right
token: 138, 137, 1
time: 1.8s","answer: right
token: 142, 141, 1
time: 0.6s",,,,"answer: wrong (B)
token: 593, 208, 385
time: 3.6s","answer: right
token: 212, 208, 4
time: 2.8s","answer: wrong (A)
token: 779, 290, 1
time: 4.6s",
8,冯某将其所有的大卡车送至通达汽车修理厂修理，因冯某未依约定支付修理费，修理厂遂依法将该车留置，但未与冯某约定留置汽车后支付修理费的期间。根据物权法规定，修理厂在实现其留置权前应当给冯某支付修理费的期间为,2个月以上,3个月以上,6个月以上,1个月以上,A,"answer: right
token: 152, 151, 1
time: 0.2s",,"answer: right
token: 152, 151, 1
time: 1.1s","answer: wrong (D)
token: 150, 149, 1
time: 0.6s",,,,"answer: right
token: 464, 200, 264
time: 3.0s","answer: right
token: 204, 200, 4
time: 2.1s","answer: right
token: 4282, 297, 1
time: 31.3s",
9,无国籍人甲在美国通过网络对正在中国旅游的英国人实施诈骗，骗得巨额钱款，对甲的行为，我国司法机关,依普遍管辖原则享有刑事管辖权,依保护原则享有刑事管辖权,没有刑事管辖权,依属地原则享有刑事管辖权,D,"answer: right
token: 133, 122, 11
time: 0.4s",,"answer: wrong (B)
token: 123, 122, 1
time: 1.1s","answer: wrong (A)
token: 124, 123, 1
time: 0.7s",,,,"answer: wrong (A)
token: 559, 179, 380
time: 3.5s","answer: right
token: 183, 179, 4
time: 2.8s","answer: right
token: 2461, 272, 1
time: 17.9s",
