,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,已知某两减因表的以下条件:(1)$q_x^{\prime(2)}=2 q_x^{\prime(1)}$(2)$q_x^{\prime(1)}+q_x^{\prime(2)}=q_x^{(r)}+0.18$则$q_x^{r(2)}=( )$。,0.66,0.80,0.60,0.82,C,"answer: wrong (A)
token: 155, 154, 1
time: 0.2s",,"answer: right
token: 155, 154, 1
time: 2.1s","answer: right
token: 148, 147, 1
time: 0.6s",,,,"answer: wrong (A)
token: 721, 170, 551
time: 3.6s","answer: wrong (A)
token: 1168, 170, 998
time: 13.7s","answer: right
token: 23981, 286, 1
time: 159.4s",
1,设随机变量$X_1 、 X_2$相互独立，它们的分布列分别为:$$X_1 \sim(\begin{array}{ccc}0 & 1 & 2 \\0.5 & 0.3 & 0.2\end{array})，X_2 \sim(\begin{array}{cccc}0 & 1 & 2 & 3 \\0.4 & 0.3 & 0.2 & 0.1\end{array})$$令$S=X_1+X_2$，则$P_S(2)=$。,0.07,0.20,0.17,0.27,D,"answer: wrong (C)
token: 214, 207, 7
time: 0.3s",,"answer: right
token: 208, 207, 1
time: 1.2s","answer: wrong (A)
token: 965, 204, 761
time: 3.0s",,,,"answer: right
token: 598, 239, 359
time: 2.4s","answer: right
token: 573, 239, 334
time: 4.9s","answer: right
token: 672, 339, 1
time: 2.9s",
2,对于一个两减因生存模型，已知:$q_x^{\prime(2)}=1 / 8，11 q_x^{(1)}=1 / 4，q_{x+1}^{(1)}=1 / 3$，则$q_x^{\prime(1)}=$,1/7,1/10,1/5,3/4,A,"answer: wrong (C)
token: 148, 142, 6
time: 0.3s",,"answer: right
token: 143, 142, 1
time: 1.4s","answer: wrong (C)
token: 133, 132, 1
time: 0.7s",,,,"answer: right
token: 771, 160, 611
time: 3.8s","answer: right
token: 705, 160, 545
time: 9.8s","answer: right
token: 6679, 277, 1
time: 39.1s",
3,原保险人自留该保单组合风险损失的方差为( )。(1)$\lambda \operatorname{Var}(X_I)$;(2)$\lambda \int_{-\infty}^M x^2 f(x) \mathrm{d} x$(3)$\lambda\left[\int_0^M x^2 f(x) \mathrm{d} x+M^2 P(X>M)\right],(3),(1),(2),(1) (2),A,"answer: right
token: 163, 162, 1
time: 0.2s",,"answer: right
token: 163, 162, 1
time: 0.8s","answer: wrong (C)
token: 161, 160, 1
time: 0.7s",,,,"answer: wrong (D)
token: 803, 197, 606
time: 4.6s","answer: right
token: 642, 197, 445
time: 9.6s","answer: right
token: 1026, 298, 3
time: 5.2s",
4,一个离散概率分布有如下性质:$(1) p_k=c(1+1 / k) p_{k-1}，k=1，2，\cdots ;(2) p_0=0.5$，则$c=( )$。,0.35,0.25,0.29,0.42,C,"answer: wrong (B)
token: 136, 135, 1
time: 0.3s",,"answer: right
token: 136, 135, 1
time: 0.7s","answer: wrong (B)
token: 132, 131, 1
time: 0.7s",,,,"answer: right
token: 1150, 147, 1003
time: 5.6s","answer: right
token: 1220, 147, 1073
time: 12.3s","answer: right
token: 1904, 276, 1
time: 10.8s",
5,假设安全附加系数$\theta=0.1$，用正态近似法计算，总理赔额超过保费收人的概率$P(S>(1+\theta) E(S))=( )$。,0.2,0.4,0.1,0.3,B,"answer: wrong (C)
token: 125, 119, 6
time: 0.3s",,"answer: wrong (A)
token: 120, 119, 1
time: 0.5s","answer: wrong (D)
token: 116, 115, 1
time: 0.6s",,,,"answer: wrong (D)
token: 530, 139, 391
time: 3.3s","answer: wrong (A)
token: 678, 139, 539
time: 12.0s","answer: wrong (A)
token: 9642, 265, 1
time: 66.1s",
6,假设某车险实际损失额X的分布函数为：$$F(x)=1-0.9 e^{-0.02 x}-0.1 e^{-0.0001 x}，x \geq 0$$假设保单规定了保单限额为 5000 元，则平均理赔额为( )。,168.56,208.54,325.15,144.33,D,"answer: wrong (B)
token: 172, 163, 9
time: 0.3s",,"answer: wrong (B)
token: 164, 163, 1
time: 1.2s","answer: wrong (A)
token: 10655, 161, 10494
time: 22.6s",,,,"answer: wrong (B)
token: 800, 172, 628
time: 4.3s","answer: wrong (A)
token: 1225, 172, 1053
time: 16.5s","answer: right
token: 5552, 292, 1
time: 36.7s",
7,已知$S(x)=\frac{\sqrt{100-x}}{10}(0 \leqslant x \leqslant 100)$，则$\frac{\mu_{10}}{\dot{e}_{36}}=$。,0.13,0.0013,0.00013,0.013,C,"answer: wrong (D)
token: 149, 141, 8
time: 0.3s",,"answer: wrong (D)
token: 142, 141, 1
time: 1.0s","answer: wrong (A)
token: 131, 130, 1
time: 0.7s",,,,"answer: wrong (D)
token: 939, 142, 797
time: 4.8s","answer: right
token: 908, 142, 766
time: 11.3s","answer: right
token: 2991, 261, 1
time: 16.7s",
8,设X_1与X_2是两个相互独立的随机变量，如果$Z=\max(X_1，X_2)，Y=\min(X_1，X_2)$，则下列选项错误的是( )。,若X_1与X_2都服从指数分布，则Z不服从指数分布,Z的密度函数为X_1与X_2密度函数的乘积,若X_1与X_2都服从指数分布，则Y也服从指数分布,Y的生存函数是X_1与X_2生存函数的乘积,B,"answer: right
token: 177, 176, 1
time: 0.2s",,"answer: right
token: 177, 176, 1
time: 0.8s","answer: right
token: 181, 180, 1
time: 0.5s",,,,"answer: wrong (A)
token: 895, 225, 670
time: 4.4s","answer: wrong (A)
token: 833, 225, 608
time: 10.0s","answer: right
token: 957, 323, 3
time: 4.3s",
9,已知某随机变量$X$的生存函数为$S(x)=-\frac{1}{60^3} x^3+1$，且$0 \leqslant x \leqslant 60$，并有$E(X)=45$，则${ }_3 m_4=( )$。,0.000054,0.000027,0.000026,0.00043,D,"answer: wrong (C)
token: 179, 168, 11
time: 0.3s",,"answer: wrong (C)
token: 169, 168, 1
time: 1.0s","answer: wrong (B)
token: 156, 155, 1
time: 0.6s",,,,"answer: wrong (B)
token: 1172, 168, 1004
time: 6.1s","answer: right
token: 783, 168, 615
time: 13.5s","answer: wrong (B)
token: 29475, 285, 1
time: 201.2s",
