,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,设 A，B 为n阶矩阵， 则 $|-2(\begin{array}{cc}A^T & O \\ O & B^{-1}\end{array})|$ 等于(),$-2|A^T||B|$,$(-2)^{2n}|A||B|^{-1}$,$(-2)^n|A||B|^{-1}$,$-2|A||B|^{-1}$,B,"answer: right
token: 151, 150, 1
time: 0.2s",,"answer: wrong (C)
token: 151, 150, 1
time: 1.6s","answer: right
token: 138, 137, 1
time: 1.6s",,,,"answer: wrong (A)
token: 598, 179, 419
time: 3.6s","answer: wrong (A)
token: 562, 179, 383
time: 7.5s","answer: right
token: 849, 281, 3
time: 5.2s",
1,设函数 $f(x)=\frac{1}{e^{\frac{x}{x-1}}-1}$， 则 ( ),$x=0， x=1$ 都是 $f(x)$ 的第一类间断点;,$x=0$ 是 $f(x)$ 的第一类间断点， $x=1$ 是 $f(x)$ 的第二类间断点;,$x=0， x=1$ 都是 $f(x)$ 的第二类间断点;,$x=0$ 是 $f(x)$ 的第二类间断点， $x=1$ 是 $f(x)$ 的第一类间断点,D,"answer: wrong (C)
token: 197, 196, 1
time: 0.3s",,"answer: wrong (B)
token: 197, 196, 1
time: 1.4s","answer: wrong (A)
token: 1479, 200, 1279
time: 3.7s",,,,"answer: wrong (A)
token: 1041, 249, 792
time: 5.0s","answer: wrong (A)
token: 1166, 249, 917
time: 12.1s","answer: right
token: 2333, 340, 1
time: 13.7s",
2,下列各对函数中， ( ) 是相同的.,$f(x)=\ln x^3，g(x)=3 \ln x$,$f(x)=\ln x^2， g(x)=2 \ln x$,$f(x)=\sqrt{x^2}， g(x)=x$,$f(x)=\frac{x^2-1}{x+1}， g(x)=x-1$,A,"answer: right
token: 142, 141, 1
time: 0.2s",,"answer: right
token: 142, 141, 1
time: 1.3s","answer: right
token: 150, 149, 1
time: 1.3s",,,,"answer: right
token: 1028, 177, 851
time: 5.8s","answer: right
token: 631, 177, 454
time: 6.8s","answer: right
token: 3499, 285, 1
time: 23.8s",
3,微分方程 $y^{\prime \prime}+2 y^{\prime}+2 y=\mathrm{e}^{-x} \sin x$ 的特解形式为 ( ).,$\mathrm{e}^{-x}(a \cos x+b \sin x)$,$\mathrm{e}^{-x}(a \cos x+b x \sin x)$,$\mathrm{e}^{-x}(a x \cos x+b \sin x)$,$x \mathrm{e}^{-x}(a \cos x+b \sin x)$,D,"answer: right
token: 172, 171, 1
time: 0.4s",,"answer: right
token: 172, 171, 1
time: 0.9s","answer: wrong (A)
token: 163, 162, 1
time: 1.5s",,,,"answer: wrong (A)
token: 635, 219, 416
time: 3.3s","answer: right
token: 223, 219, 4
time: 2.6s","answer: right
token: 842, 301, 1
time: 3.8s",
4,设A为n阶方阵， 且 $|A| \neq 0$， 则（）.,以上都不对,由AX=BA， 可得X=B,当$(A，E)$经有限次初等变换变为$(E，B)$时， 有$A^{-1}=B$,A经初等列变换可变为单位阵$E$,D,"answer: wrong (C)
token: 139, 138, 1
time: 0.2s",,"answer: wrong (C)
token: 139, 138, 1
time: 1.3s","answer: wrong (C)
token: 132, 131, 1
time: 1.4s",,,,"answer: wrong (A)
token: 747, 167, 580
time: 4.9s","answer: wrong (A)
token: 828, 167, 661
time: 15.0s","answer: wrong (C)
token: 5326, 281, 1
time: 39.5s",
5,阶行列式 $D_4=\left|\begin{array}{cccc}a_1 & 0 & 0 & b_1 \\ 0 & a_2 & b_2 & 0 \\ 0 & b_3 & a_3 & 0 \\ b_4 & 0 & 0 & a_4\end{array}\right|$ 的值等于 ( ).,$\left(a_1 a_2-b_1 b_2\right)\left(a_3 a_4-b_3 b_4\right)$;,$\left(a_2 a_3-b_2 b_3\right)\left(a_1 a_4-b_1 b_4\right)$.,$a_1 a_2 a_3 a_4+b_1 b_2 b_3 b_4$;,$a_1 a_2 a_3 a_4-b_1 b_2 b_3 b_4$;,B,"answer: right
token: 261, 260, 1
time: 0.2s",,"answer: right
token: 261, 260, 1
time: 0.8s","answer: right
token: 268, 267, 1
time: 1.1s",,,,"answer: right
token: 1006, 329, 677
time: 3.9s","answer: right
token: 1000, 329, 671
time: 8.7s","answer: right
token: 1577, 397, 3
time: 8.5s",
6,函数 $f(x)=\frac{x-x^3}{\sin \pi x}$ 的可去间断点个数为（）,2,无穷多个,1,3,D,"answer: wrong (B)
token: 97, 96, 1
time: 0.2s",,"answer: wrong (C)
token: 97, 96, 1
time: 1.0s","answer: wrong (C)
token: 94, 93, 1
time: 0.8s",,,,"answer: right
token: 918, 114, 804
time: 5.0s","answer: wrong (A)
token: 1023, 114, 909
time: 13.3s","answer: right
token: 2098, 240, 1
time: 12.5s",
7,设 $A，B$ 为随机事件， $P(A)=P(B)=\frac{3}{4}$， 则 $P(A-B)=\frac{1}{4}$ 成立的一个充分条 件为 ( ),$A=B$,$A B=\varnothing$,$A， B$ 相互独立,$A \bigcup B=\Omega$,D,"answer: wrong (B)
token: 134, 133, 1
time: 0.4s",,"answer: right
token: 134, 133, 1
time: 0.9s","answer: wrong (C)
token: 133, 132, 1
time: 0.8s",,,,"answer: wrong (A)
token: 783, 170, 613
time: 3.7s","answer: wrong (A)
token: 664, 170, 494
time: 7.0s","answer: right
token: 713, 276, 1
time: 3.3s",
8,设 $A，B$ 为n阶非零矩阵， 且AB=0$. 则A和B的秩,一个小于n，一个等于n,都小于n,都等于n,必有一个等于零,B,"answer: right
token: 107, 106, 1
time: 0.3s",,"answer: right
token: 107, 106, 1
time: 1.0s","answer: right
token: 100, 99, 1
time: 0.9s",,,,"answer: wrong (A)
token: 712, 128, 584
time: 4.9s","answer: wrong (A)
token: 362, 128, 234
time: 5.0s","answer: right
token: 1113, 252, 3
time: 6.1s",
9,具有特解 $y_1=e^{-x}， y_2=2xe^{-x}， y_3=3e^x$ 的三阶常系数齐次线性方程是 () .,$y'''-2y''-y'+2y=0$,$y'''+y''-y'-y=0$,$y'''-y''-y'+y=0$,$y'''-6y''+11y'-6y=0$,B,"answer: wrong (A)
token: 159, 158, 1
time: 0.3s",,"answer: wrong (C)
token: 159, 158, 1
time: 1.1s","answer: wrong (A)
token: 1806, 158, 1648
time: 6.8s",,,,"answer: right
token: 672, 178, 494
time: 3.6s","answer: wrong (A)
token: 702, 178, 524
time: 9.0s","answer: right
token: 1114, 302, 3
time: 5.7s",
