,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,《中华人民共和国道路交通安全法》是为了维护道路交通秩序，（），提高通行效率。,圆满完成运输任务,保护公民合法权益,减少交通事故,保证车辆高速行驶,B,"answer: wrong (C)
token: 96, 95, 1
time: 0.2s",,"answer: wrong (C)
token: 96, 95, 1
time: 0.6s","answer: wrong (C)
token: 93, 92, 1
time: 0.3s",,,"answer: wrong (C)
token: 143, 139, 4
time: 2.9s","answer: wrong (C)
token: 143, 139, 4
time: 0.7s","answer: right
token: 143, 139, 4
time: 2.5s"
1,制动时车轮最容易抱死的路面是,沙土路,混凝土路,土路,冰雪路面,D,"answer: right
token: 94, 88, 6
time: 0.3s",,"answer: right
token: 89, 88, 1
time: 0.6s","answer: right
token: 81, 80, 1
time: 0.7s",,,"answer: right
token: 105, 101, 4
time: 2.5s","answer: right
token: 105, 101, 4
time: 0.8s","answer: right
token: 105, 101, 4
time: 2.3s"
2,禁令标志的作用是。,禁止或限制车辆和行人交通行为,传递道路方向、地点、距离信息,指示车辆和行人行进,警告车辆和行人注意危险地点,A,"answer: right
token: 105, 104, 1
time: 0.3s",,"answer: right
token: 105, 104, 1
time: 1.3s","answer: right
token: 95, 94, 1
time: 0.6s",,,"answer: right
token: 136, 132, 4
time: 2.3s","answer: right
token: 136, 132, 4
time: 0.8s","answer: right
token: 136, 132, 4
time: 2.6s"
3,以欺骗、贿赂等不正当手段取得驾驶证被依法撤销驾驶许可的，多长时间不得重新申请驾驶许可,5年内,终身,3年内,1年内,C,"answer: right
token: 100, 95, 5
time: 0.2s",,"answer: right
token: 96, 95, 1
time: 1.0s","answer: right
token: 99, 98, 1
time: 0.5s",,,"answer: right
token: 136, 132, 4
time: 2.2s","answer: wrong (A)
token: 136, 132, 4
time: 0.9s","answer: right
token: 136, 132, 4
time: 1.6s"
4,驾驶机动车遇到沙尘、冰雹、雨、雾、结冰等气象条件如何行驶,保持匀速行驶,适当提高车速,按平常速度行驶,降低行驶速度,D,"answer: right
token: 102, 101, 1
time: 0.2s",,"answer: right
token: 102, 101, 1
time: 1.3s","answer: right
token: 98, 97, 1
time: 0.6s",,,"answer: right
token: 140, 136, 4
time: 3.3s","answer: right
token: 140, 136, 4
time: 0.8s","answer: right
token: 140, 136, 4
time: 2.5s"
5,机动车在没有限速标志、标线的道路情况下，如果同方向只有一条机动车道的城市道路规定最高时速为,40公里/小时,30公里/小时,50公里/小时,70公里/小时,C,"answer: right
token: 118, 110, 8
time: 0.4s",,"answer: right
token: 111, 110, 1
time: 2.6s","answer: right
token: 110, 109, 1
time: 0.7s",,,"answer: right
token: 141, 137, 4
time: 2.2s","answer: right
token: 141, 137, 4
time: 0.7s","answer: right
token: 141, 137, 4
time: 1.8s"
6,同车道行驶的车辆前方遇到下列哪种车辆不得超车,超载大型货车,城市公交车,执行任务的警车,大型客车,C,"answer: right
token: 94, 93, 1
time: 0.2s",,"answer: right
token: 94, 93, 1
time: 2.9s","answer: right
token: 88, 87, 1
time: 0.8s",,,"answer: right
token: 121, 117, 4
time: 2.6s","answer: right
token: 121, 117, 4
time: 0.7s","answer: right
token: 121, 117, 4
time: 2.5s"
7,准驾车型为小型自动挡汽车的，可以驾驶以下哪种车型,轻便自动挡载货汽车,二轮摩托车,低速载货汽车,小型汽车,A,"answer: right
token: 98, 97, 1
time: 0.2s",,"answer: wrong (D)
token: 98, 97, 1
time: 3.0s","answer: wrong (D)
token: 91, 90, 1
time: 0.8s",,,"answer: right
token: 133, 129, 4
time: 2.3s","answer: right
token: 133, 129, 4
time: 0.7s","answer: right
token: 133, 129, 4
time: 2.4s"
8,驾驶人连续驾驶不得超过多长时间,6小时,10小时,8小时,4小时,D,"answer: right
token: 86, 81, 5
time: 0.2s",,"answer: right
token: 82, 81, 1
time: 1.0s","answer: wrong (C)
token: 78, 77, 1
time: 0.5s",,,"answer: right
token: 103, 99, 4
time: 2.4s","answer: wrong (C)
token: 103, 99, 4
time: 0.7s","answer: right
token: 103, 99, 4
time: 2.6s"
9,驾驶小型载客汽车在高速公路上时速低于100公里时的最小跟车距离是多少,不得少于10米,不得少于50米,不得少于30米,不得少于20米,B,"answer: wrong (A)
token: 113, 112, 1
time: 0.2s",,"answer: right
token: 113, 112, 1
time: 1.0s","answer: right
token: 107, 106, 1
time: 0.6s",,,"answer: right
token: 132, 128, 4
time: 3.0s","answer: wrong (C)
token: 132, 128, 4
time: 0.8s","answer: right
token: 132, 128, 4
time: 3.1s"
