id,scenario,product,targetUser,goal,tone,length,mustInclude,avoid,callToAction,hashtags,notes,Qwen Flash,Qwen Plus,Qwen3 max,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
XHS-001,盛夏通勤防晒,轻薄防晒霜,通勤白领,突出清爽不闷、通勤友好、性价比,温柔治愈,120-160字,"PA++++, 清爽不搓泥, 适合通勤","医疗功效, 夸大绝对防晒",引导收藏防晒选择清单,#防晒 #通勤 #夏日护肤,强调不油腻、不假白,,,,,,"token: 968, 692, 276
time: 4.6s
score: 9.2/10",,,,,
XHS-002,盛夏通勤防晒,轻薄防晒霜,学生党,突出清爽不闷、通勤友好、性价比,干货专业,180-220字,"PA++++, 清爽不搓泥, 适合通勤","医疗功效, 夸大绝对防晒",引导收藏防晒选择清单,#防晒 #通勤 #夏日护肤,强调不油腻、不假白,,,,,,"token: 1090, 751, 339
time: 5.7s
score: 8.9/10",,,,,
XHS-003,盛夏通勤防晒,轻薄防晒霜,敏感肌人群,突出清爽不闷、通勤友好、性价比,轻松幽默,220-280字,"PA++++, 清爽不搓泥, 适合通勤","医疗功效, 夸大绝对防晒",引导收藏防晒选择清单,#防晒 #通勤 #夏日护肤,强调不油腻、不假白,,,,,,"token: 1050, 734, 316
time: 4.5s
score: 9.2/10",,,,,
XHS-004,盛夏通勤防晒,轻薄防晒霜,户外轻度活动者,突出清爽不闷、通勤友好、性价比,真实体验,160-200字,"PA++++, 清爽不搓泥, 适合通勤","医疗功效, 夸大绝对防晒",引导收藏防晒选择清单,#防晒 #通勤 #夏日护肤,强调不油腻、不假白,,,,,,"token: 1104, 762, 342
time: 5.4s
score: 9.3/10",,,,,
XHS-005,盛夏通勤防晒,轻薄防晒霜,久坐办公室人群,突出清爽不闷、通勤友好、性价比,高能种草,200-260字,"PA++++, 清爽不搓泥, 适合通勤","医疗功效, 夸大绝对防晒",引导收藏防晒选择清单,#防晒 #通勤 #夏日护肤,强调不油腻、不假白,,,,,,"token: 1080, 749, 331
time: 4.6s
score: 9.2/10",,,,,
XHS-006,面试妆容,哑光口红,求职新人,强调显气色、稳重耐看、持久不拔干,干货专业,160-200字,"显气色, 不拔干, 适合面试","过度性感措辞, 夸大成分",鼓励评论分享面试色号,#面试妆 #口红试色 #职场气质,语气稳重专业,,,,,,"token: 1012, 714, 298
time: 4.2s
score: 8.8/10",,,,,
XHS-007,面试妆容,哑光口红,应届毕业生,强调显气色、稳重耐看、持久不拔干,轻松幽默,200-260字,"显气色, 不拔干, 适合面试","过度性感措辞, 夸大成分",鼓励评论分享面试色号,#面试妆 #口红试色 #职场气质,语气稳重专业,,,,,,"token: 1160, 789, 371
time: 6.1s
score: 9.2/10",,,,,
XHS-008,面试妆容,哑光口红,职场女性,强调显气色、稳重耐看、持久不拔干,真实体验,120-160字,"显气色, 不拔干, 适合面试","过度性感措辞, 夸大成分",鼓励评论分享面试色号,#面试妆 #口红试色 #职场气质,语气稳重专业,,,,,,"token: 970, 694, 276
time: 4.6s
score: 9.2/10",,,,,
XHS-009,面试妆容,哑光口红,实习生,强调显气色、稳重耐看、持久不拔干,高能种草,180-220字,"显气色, 不拔干, 适合面试","过度性感措辞, 夸大成分",鼓励评论分享面试色号,#面试妆 #口红试色 #职场气质,语气稳重专业,,,,,,"token: 868, 643, 225
time: 4.0s
score: 9.2/10",,,,,
XHS-010,面试妆容,哑光口红,职业转型者,强调显气色、稳重耐看、持久不拔干,温柔治愈,220-280字,"显气色, 不拔干, 适合面试","过度性感措辞, 夸大成分",鼓励评论分享面试色号,#面试妆 #口红试色 #职场气质,语气稳重专业,,,,,,"token: 1158, 789, 369
time: 4.6s
score: 9.2/10",,,,,
