,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,煎炸食物时油温不宜过高的原因是,以上说法均,油温过高容易使油产生“哈喇味”,容易使被煎炸食物的口感不好,油温过高使油产生对人体有害的物质,D,"answer: right
token: 111, 110, 1
time: 0.2s",,"answer: wrong (A)
token: 111, 110, 1
time: 0.7s","answer: right
token: 106, 105, 1
time: 0.9s",,,,,"answer: wrong (A)
token: 143, 139, 4
time: 3.7s"
1,为了满足微生物生长，发酵可以通过三个因素控制，因此下列选项除了,盐浓度,温度,湿度,pH,C,"answer: wrong (A)
token: 86, 85, 1
time: 0.2s",,"answer: right
token: 86, 85, 1
time: 1.7s","answer: right
token: 79, 78, 1
time: 0.7s",,,,,"answer: right
token: 114, 110, 4
time: 3.0s"
2,软罐头的包装最常用的是,PA/PVDC,PET/Al/PP,PET/PA/PE,PET/PP,B,"answer: wrong (A)
token: 86, 85, 1
time: 0.3s",,"answer: right
token: 86, 85, 1
time: 0.7s","answer: right
token: 81, 80, 1
time: 0.6s",,,,,"answer: right
token: 101, 97, 4
time: 2.5s"
3,食品中的水分活度值应,≤1,≥1,≤0.1,10～100,A,"answer: right
token: 84, 83, 1
time: 0.3s",,"answer: right
token: 84, 83, 1
time: 2.7s","answer: right
token: 78, 77, 1
time: 0.8s",,,,,"answer: right
token: 96, 92, 4
time: 2.3s"
4,D值与细菌带菌量,无关,有关,带菌量多D值大,带菌量多D值小,A,"answer: wrong (B)
token: 88, 87, 1
time: 0.2s",,"answer: right
token: 88, 87, 1
time: 1.8s","answer: wrong (D)
token: 81, 80, 1
time: 0.8s",,,,,"answer: right
token: 101, 97, 4
time: 2.3s"
5,食品科学依托的基础学科主要是,化学学科,以上全部,生物学科,工程学科,B,"answer: right
token: 82, 81, 1
time: 0.2s",,"answer: right
token: 82, 81, 1
time: 1.1s","answer: right
token: 71, 70, 1
time: 0.8s",,,,,"answer: right
token: 102, 98, 4
time: 2.4s"
6,将啤酒花加入麦芽汁，要煮沸，煮沸的目的除了下列,杀死微生物,浓缩液体,灭活酶,溶解啤酒花,D,"answer: wrong (B)
token: 96, 95, 1
time: 0.2s",,"answer: wrong (B)
token: 96, 95, 1
time: 0.5s","answer: wrong (B)
token: 88, 87, 1
time: 0.8s",,,,,"answer: wrong (B)
token: 129, 125, 4
time: 2.5s"
7,以下哪一个为粗制品，含非糖物质及有机酸较多，特别是有机酸达到一定浓度时，可使牛奶中的蛋白质发生凝聚和沉淀，营养价值大大降低,蜂蜜,红糖,白糖,木糖醇,B,"answer: right
token: 116, 110, 6
time: 0.3s",,"answer: right
token: 111, 110, 1
time: 1.0s","answer: right
token: 106, 105, 1
time: 0.4s",,,,,"answer: right
token: 164, 160, 4
time: 2.8s"
8,现代的食品供应链较之前也发生了变化，商务部大力推广,农户直销,分散化经营,农商对接,粗放生产,C,"answer: right
token: 97, 91, 6
time: 0.3s",,"answer: right
token: 92, 91, 1
time: 0.6s","answer: right
token: 88, 87, 1
time: 0.9s",,,,,"answer: right
token: 115, 111, 4
time: 2.9s"
9,食品辐照用的辐照源主要采用,X射线,以上全部,铀235,钴60,D,"answer: right
token: 95, 88, 7
time: 0.3s",,"answer: right
token: 89, 88, 1
time: 0.8s","answer: right
token: 78, 77, 1
time: 0.8s",,,,,"answer: right
token: 99, 95, 4
time: 2.7s"
