,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,教育制度的潜功能表现之一是,社会选择,文凭功能,缩小收入差距,社会化,C,"answer: wrong (D)
token: 89, 83, 6
time: 0.3s",,,,,,,,,"answer: wrong (A)
token: 1535, 227, 1
time: 11.3s",
1,为了追求社会鼓励的目标，采用了不被社会认可的手段，甚至是违法的手段，这种偏差行为称之为,创新,形式主义,反叛,退缩主义,C,"answer: wrong (A)
token: 101, 96, 5
time: 0.3s",,,,,,,,,"answer: wrong (A)
token: 534, 241, 1
time: 3.0s",
2,由一对夫妇与父母和未婚子女聚居生活的家庭，被称为,核心家庭,联合家庭,主干家庭,完全家庭,A,"answer: wrong (C)
token: 94, 89, 5
time: 0.2s",,,,,,,,,"answer: wrong (C)
token: 694, 234, 1
time: 4.2s",
3,把社会行动作为研究对象和建构功能理论的出发点的学者是,韦伯,帕森斯,马克思,凡勃伦,B,"answer: right
token: 99, 92, 7
time: 0.3s",,,,,,,,,"answer: right
token: 751, 235, 1
time: 5.6s",
4,1895年，在《原强》一文中首先介绍了斯宾塞及其社会学的学者是,章太炎,康有为,严复,谭嗣同,C,"answer: right
token: 104, 99, 5
time: 0.3s",,,,,,,,,"answer: right
token: 573, 241, 1
time: 3.1s",
5,在社会学的功能中，教育功能表现在,提供模式,社会批评,帮助人们合理选择,反馈信息,C,"answer: wrong (A)
token: 87, 86, 1
time: 0.2s",,,,,,,,,"answer: wrong (A)
token: 704, 230, 1
time: 4.7s",
6,“后工业社会论”提出，处于社会中心地位的是,科学技术,信息技术,专业与技术人员,理论知识,D,"answer: right
token: 93, 86, 7
time: 0.3s",,,,,,,,,"answer: right
token: 582, 231, 1
time: 3.4s",
7,促进社区居民的社会参与，培养社区居民的互助合作精神，提高社区居民自力更生和共同合作解决问题的能力，这属于社区发展的,任务目标,基本目标,过程目标,根本目标,C,"answer: right
token: 112, 106, 6
time: 0.2s",,,,,,,,,"answer: right
token: 656, 250, 1
time: 3.5s",
8,在自然资源的分类中，空气属于,替代资源,矿产资源,生物资源,环境资源,D,"answer: right
token: 90, 83, 7
time: 0.4s",,,,,,,,,"answer: right
token: 537, 227, 1
time: 2.6s",
9,中国学者自己的社区研究始于20世纪20年代末的,社会调查运动期间,乡村建设运动期间,社会建设运动期间,城市社区运动期间,B,"answer: right
token: 104, 97, 7
time: 0.3s",,,,,,,,,"answer: wrong (A)
token: 2009, 239, 1
time: 15.2s",
10,斯宾塞认为，社会同生物一样也是一个有机体，但社会不是简单的有机体而是,进化有机体,超有机体,大有机体,聚合有机体,B,"answer: right
token: 106, 99, 7
time: 0.3s",,,,,,,,,"answer: right
token: 529, 243, 1
time: 2.5s",
11,在社会学研究方法中，属于定性方法的是,社会实验方法,问卷调查,实地研究,介入性研究,C,"answer: right
token: 90, 85, 5
time: 0.3s",,,,,,,,,"answer: right
token: 511, 233, 1
time: 2.7s",
12,对社会发展总的方向、大目标、主要步骤与重大措施的设想，被称做,全球化,社会发展计划,社会现代化,有计划的社会变迁,B,"answer: wrong (D)
token: 102, 95, 7
time: 0.3s",,,,,,,,,"answer: wrong (D)
token: 604, 238, 1
time: 3.6s",
13,家庭矛盾冲突的一种极端行为表现是,家庭暴力,子女离家出走,家庭解组,夫妻离异,A,"answer: right
token: 90, 89, 1
time: 0.3s",,,,,,,,,"answer: right
token: 831, 232, 1
time: 6.1s",
14,假定有些人天生就是不守规矩的人，在这一假定基础上形成的关于偏差行为的解释是,生物学解释,生理学解释,心理学解释,社会学解释,B,"answer: wrong (A)
token: 100, 99, 1
time: 0.3s",,,,,,,,,"answer: wrong (A)
token: 522, 244, 1
time: 2.9s",
15,表示人的出身、地位或资格，具有继承性和不可更改性的概念是,契约,户籍,身分,单位,C,"answer: right
token: 94, 89, 5
time: 0.3s",,,,,,,,,"answer: right
token: 555, 232, 1
time: 3.6s",
16,伦斯基的社会分层理论，被称为,符号论,功能论,冲突论,进化论,D,"answer: right
token: 88, 82, 6
time: 0.3s",,,,,,,,,"answer: right
token: 556, 227, 1
time: 3.2s",
