,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,世界市场最终完备是在,19世纪末到20世纪初,18世纪末到19世纪初,17世纪末到18世纪初,20世纪末到21世纪初,A,"answer: right
token: 105, 104, 1
time: 0.2s",,"answer: right
token: 105, 104, 1
time: 1.6s","answer: right
token: 102, 101, 1
time: 0.6s","answer: right
token: 550, 101, 1
time: 3.3s",,"answer: right
token: 126, 122, 4
time: 2.6s","answer: right
token: 126, 122, 4
time: 1.1s","answer: right
token: 126, 122, 4
time: 1.6s"
1,“伦理”区别于其他社会关系的特殊性在于,它包含了人自身各种潜质潜能的全面发展,它包含了好坏善恶的价值标准,它包含了天、人、物的和谐相处,它包含了人与人、人与世界关系的事实,B,"answer: right
token: 113, 112, 1
time: 0.3s",,"answer: right
token: 113, 112, 1
time: 0.7s","answer: right
token: 111, 110, 1
time: 0.6s","answer: right
token: 1140, 110, 1
time: 6.9s",,"answer: right
token: 159, 155, 4
time: 2.5s","answer: wrong (A)
token: 479, 155, 324
time: 3.3s","answer: right
token: 159, 155, 4
time: 3.1s"
2,下列不属于董事的伦理责任的是,独立性与监督性融合,底线思维、客观决策,勤勉监督董事及管理层的工作和行为,专业性与判断性兼具,C,"answer: wrong (A)
token: 101, 100, 1
time: 0.2s",,"answer: right
token: 101, 100, 1
time: 0.7s","answer: wrong (A)
token: 97, 96, 1
time: 0.6s","answer: right
token: 724, 96, 1
time: 4.1s",,"answer: right
token: 133, 129, 4
time: 3.1s","answer: wrong (B)
token: 133, 129, 4
time: 1.0s","answer: right
token: 133, 129, 4
time: 2.2s"
3,下列选项中，制定企业经营决策的重要依据是,会计责任,会计信息,会计工作,会计教育,B,"answer: right
token: 83, 82, 1
time: 0.3s",,"answer: right
token: 83, 82, 1
time: 0.8s","answer: right
token: 80, 79, 1
time: 0.8s","answer: right
token: 266, 79, 1
time: 1.8s",,"answer: right
token: 108, 104, 4
time: 2.5s","answer: right
token: 108, 104, 4
time: 1.3s","answer: right
token: 108, 104, 4
time: 2.3s"
4,跨国公司以东道国的市场需求为基点，进行一系列的产品推广、价格制定、渠道扩、广告促销等经营活动，这一策略属于,营销本土化,人员本土化,利益本土化,采购本土化,A,"answer: right
token: 111, 110, 1
time: 0.3s",,"answer: right
token: 111, 110, 1
time: 0.7s","answer: right
token: 106, 105, 1
time: 0.6s","answer: right
token: 309, 105, 1
time: 2.1s",,"answer: right
token: 148, 144, 4
time: 3.4s","answer: right
token: 344, 144, 200
time: 2.9s","answer: right
token: 148, 144, 4
time: 2.5s"
5,道德规范分为最高规范和,一般规范,伦理规范,最低规范,社团规范,D,"answer: wrong (C)
token: 85, 80, 5
time: 0.3s",,"answer: wrong (C)
token: 81, 80, 1
time: 0.6s","answer: wrong (C)
token: 75, 74, 1
time: 0.6s","answer: wrong (C)
token: 599, 74, 1
time: 3.7s",,"answer: wrong (C)
token: 100, 96, 4
time: 2.4s","answer: wrong (C)
token: 100, 96, 4
time: 0.8s","answer: wrong (A)
token: 100, 96, 4
time: 2.5s"
6,有理性、会算计、追求自利最大化的人，被亚当·斯密称为,社会人,经济人,道德人,自然人,B,"answer: right
token: 101, 95, 6
time: 0.3s",,"answer: right
token: 96, 95, 1
time: 3.0s","answer: right
token: 87, 86, 1
time: 0.6s","answer: right
token: 353, 86, 1
time: 2.3s",,"answer: right
token: 112, 108, 4
time: 2.3s","answer: right
token: 112, 108, 4
time: 0.7s","answer: right
token: 112, 108, 4
time: 2.5s"
7,以下行为中，不属于企业舞弊行为的是,挪用资金,招待客户,偷漏税金,盗窃,B,"answer: right
token: 89, 88, 1
time: 0.2s",,"answer: right
token: 89, 88, 1
time: 1.5s","answer: right
token: 82, 81, 1
time: 0.6s","answer: right
token: 322, 81, 1
time: 2.2s",,"answer: right
token: 110, 106, 4
time: 2.5s","answer: right
token: 249, 106, 143
time: 2.3s","answer: right
token: 110, 106, 4
time: 1.5s"
8,企业社会责任的本质内容体现为,道德责任,员工意识,企业文化,行为规范,A,"answer: right
token: 82, 81, 1
time: 0.2s",,"answer: right
token: 82, 81, 1
time: 1.2s","answer: right
token: 75, 74, 1
time: 0.7s","answer: right
token: 576, 74, 0
time: 3.9s",,"answer: right
token: 102, 98, 4
time: 4.3s","answer: right
token: 197, 98, 99
time: 1.5s","answer: right
token: 102, 98, 4
time: 2.3s"
9,经济活动中的信用是不同所有者之间商品和货币资金的借贷以及赊销预付等行为，它是指一种,间接信用,信用行为,借贷行为,直接信用,C,"answer: wrong (B)
token: 106, 101, 5
time: 0.2s",,"answer: wrong (B)
token: 102, 101, 1
time: 0.8s","answer: wrong (B)
token: 97, 96, 1
time: 0.7s","answer: right
token: 544, 96, 1
time: 3.4s",,"answer: right
token: 132, 128, 4
time: 2.5s","answer: wrong (D)
token: 132, 128, 4
time: 0.7s","answer: right
token: 132, 128, 4
time: 2.3s"
10,商业主体道德的本质是,“应当如何”,自律与他律的统一,他律,自律,B,"answer: wrong (A)
token: 80, 79, 1
time: 0.2s",,"answer: right
token: 80, 79, 1
time: 0.9s","answer: wrong (A)
token: 78, 77, 1
time: 0.6s","answer: wrong (D)
token: 862, 77, 0
time: 5.6s",,"answer: right
token: 99, 95, 4
time: 2.1s","answer: right
token: 99, 95, 4
time: 0.7s","answer: right
token: 99, 95, 4
time: 2.1s"
11,中国注册会计师令人担忧的状况是,职业道德,审计报告,专业知识,业务工作,A,"answer: right
token: 82, 81, 1
time: 0.2s",,"answer: right
token: 82, 81, 1
time: 0.8s","answer: right
token: 76, 75, 1
time: 0.5s","answer: right
token: 430, 75, 1
time: 3.1s",,"answer: right
token: 104, 100, 4
time: 2.7s","answer: right
token: 104, 100, 4
time: 1.0s","answer: right
token: 104, 100, 4
time: 1.6s"
12,商业中互利互惠的最低要,不损害他人利益,无为,宽容,仁爱,A,"answer: right
token: 81, 80, 1
time: 0.2s",,"answer: right
token: 81, 80, 1
time: 0.9s","answer: right
token: 78, 77, 1
time: 0.6s","answer: right
token: 406, 77, 1
time: 3.1s",,"answer: right
token: 100, 96, 4
time: 3.0s","answer: right
token: 100, 96, 4
time: 0.7s","answer: right
token: 100, 96, 4
time: 2.7s"
13,下列不属于直接利益相关者公共关系构建原则的是,互惠互利,和平共处,共同发展,团结合作,B,"answer: right
token: 92, 86, 6
time: 0.3s",,"answer: right
token: 87, 86, 1
time: 0.9s","answer: right
token: 84, 83, 1
time: 0.7s","answer: right
token: 588, 83, 0
time: 3.5s",,"answer: right
token: 111, 107, 4
time: 2.2s","answer: right
token: 111, 107, 4
time: 1.7s","answer: right
token: 111, 107, 4
time: 1.6s"
14,在经济社会中，人们的经济自由主要表现在,财产权的实际使用权,财产权的实际占有权,财产权的实际收益权,财产权的自由支配权,D,"answer: right
token: 106, 96, 10
time: 0.3s",,"answer: right
token: 97, 96, 1
time: 0.7s","answer: right
token: 97, 96, 1
time: 0.6s","answer: right
token: 494, 96, 1
time: 3.1s",,"answer: right
token: 127, 123, 4
time: 3.3s","answer: right
token: 229, 123, 106
time: 1.7s","answer: right
token: 127, 123, 4
time: 2.7s"
15,在现实中，社会公正的首要问题是,引入市场机制,培养道德情操,切实保障个人利益,创建良好的社会制度,D,"answer: right
token: 94, 88, 6
time: 0.3s",,"answer: right
token: 89, 88, 1
time: 5.0s","answer: wrong (C)
token: 84, 83, 1
time: 0.6s","answer: right
token: 426, 83, 0
time: 3.1s",,"answer: right
token: 116, 112, 4
time: 2.5s","answer: right
token: 116, 112, 4
time: 1.1s","answer: right
token: 116, 112, 4
time: 2.9s"
16,企业进行管理创新的根本途径是,提高管理者自身的素质,增强员工的自尊,使员工对自己的工作更加满意,让员工参与决策,D,"answer: wrong (A)
token: 92, 91, 1
time: 0.3s",,"answer: wrong (A)
token: 92, 91, 1
time: 0.8s","answer: wrong (A)
token: 86, 85, 1
time: 0.6s","answer: right
token: 595, 85, 1
time: 4.3s",,"answer: wrong (A)
token: 124, 120, 4
time: 2.3s","answer: right
token: 124, 120, 4
time: 0.8s","answer: wrong (A)
token: 124, 120, 4
time: 2.5s"
17,大白兔与大白兔两家奶糖生产企业最可能涉及的伦理争端是,故意损害名誉,夸大、虚假宣传,价格操纵行为,商业混淆行为,D,"answer: right
token: 103, 97, 6
time: 0.3s",,"answer: right
token: 98, 97, 1
time: 1.0s","answer: right
token: 100, 99, 1
time: 0.7s","answer: right
token: 520, 99, 1
time: 3.9s",,"answer: right
token: 135, 131, 4
time: 2.3s","answer: right
token: 135, 131, 4
time: 1.3s","answer: right
token: 135, 131, 4
time: 2.5s"
18,人与动物的一个根本区别是人具有,文化性,自我实现性,思想性,社会性,D,"answer: wrong (A)
token: 88, 83, 5
time: 0.4s",,"answer: wrong (A)
token: 84, 83, 1
time: 1.3s","answer: wrong (C)
token: 76, 75, 1
time: 0.4s","answer: wrong (A)
token: 1374, 75, 1
time: 9.1s",,"answer: wrong (C)
token: 101, 97, 4
time: 2.4s","answer: wrong (A)
token: 245, 97, 148
time: 2.1s","answer: wrong (A)
token: 101, 97, 4
time: 2.5s"
19,关税与凭借政治权力规定的其他税赋一样具有强制性、无偿性 和,固定性,变化性,调节性,保护性,A,"answer: right
token: 93, 92, 1
time: 0.2s",,"answer: right
token: 93, 92, 1
time: 0.6s","answer: wrong (C)
token: 87, 86, 1
time: 0.6s","answer: right
token: 365, 86, 1
time: 3.0s",,"answer: right
token: 116, 112, 4
time: 3.0s","answer: wrong (C)
token: 187, 112, 75
time: 1.6s","answer: right
token: 116, 112, 4
time: 2.8s"
20,下面属于企业的基本社会责任的是,保护消费者权益,保护生态平衡,获取利润,减少环境污染,C,"answer: wrong (A)
token: 80, 79, 1
time: 0.2s",,"answer: wrong (A)
token: 80, 79, 1
time: 0.7s","answer: right
token: 78, 77, 1
time: 0.4s","answer: wrong (A)
token: 1131, 77, 1
time: 7.3s",,"answer: right
token: 111, 107, 4
time: 2.6s","answer: right
token: 264, 107, 157
time: 2.0s","answer: right
token: 111, 107, 4
time: 1.7s"
21,企业价值观的中心容是,社会责任观,企业伦理观,企业决策观,道德善恶观,B,"answer: wrong (A)
token: 86, 85, 1
time: 0.2s",,"answer: right
token: 86, 85, 1
time: 1.0s","answer: right
token: 77, 76, 1
time: 0.6s","answer: right
token: 614, 76, 1
time: 4.2s",,"answer: right
token: 104, 100, 4
time: 2.4s","answer: right
token: 176, 100, 76
time: 1.4s","answer: right
token: 104, 100, 4
time: 3.0s"
22,有关商业伦理与企业社会责任的描述，下列说法不正确的是,社会责任与商业伦理是两个截然不同的概念，它们之间有十分明确的界线,企业的社会责任，就是指企业在追求其基本经济目标的同时，对于利益相关方承担义务,商业伦理以企业中的员工以及企业自身为规范对象,企业承担社会责任可视为遵守商业伦理的必然结果,A,"answer: right
token: 141, 140, 1
time: 0.2s",,"answer: right
token: 141, 140, 1
time: 1.0s","answer: right
token: 143, 142, 1
time: 0.7s","answer: right
token: 542, 142, 1
time: 2.7s",,"answer: right
token: 520, 213, 307
time: 7.0s","answer: right
token: 217, 213, 4
time: 1.0s","answer: right
token: 217, 213, 4
time: 2.4s"
23,将出口商品以低于国市场价格，甚至低于商品生产成本的价格，在国外市场抛售商品以打击竞争对手的削价竞销行为，被称为,商品削价,商品倾销,商品抛售,商品竞销,D,"answer: wrong (B)
token: 107, 102, 5
time: 0.3s",,"answer: wrong (B)
token: 103, 102, 1
time: 0.8s","answer: wrong (B)
token: 102, 101, 1
time: 0.6s","answer: wrong (B)
token: 354, 101, 1
time: 2.4s",,"answer: wrong (B)
token: 150, 146, 4
time: 2.6s","answer: wrong (B)
token: 150, 146, 4
time: 0.7s","answer: wrong (B)
token: 150, 146, 4
time: 1.6s"
24,一个国家的人均国民收入达到多少的时候，信用交易将不可避免地成为市场经济的主导经济形式,2000美元,1000美元,4000美元,3000美元,A,"answer: wrong (C)
token: 112, 104, 8
time: 0.3s",,"answer: wrong (D)
token: 105, 104, 1
time: 1.0s","answer: wrong (C)
token: 103, 102, 1
time: 0.6s","answer: right
token: 420, 102, 1
time: 3.1s",,"answer: wrong (B)
token: 130, 126, 4
time: 2.6s","answer: wrong (C)
token: 130, 126, 4
time: 1.0s","answer: wrong (B)
token: 130, 126, 4
time: 2.5s"
25,可以认为是人与人之间的一种“等利”或“等害”交换的是,自由,公正,均衡,平等,B,"answer: wrong (D)
token: 96, 91, 5
time: 0.3s",,"answer: right
token: 92, 91, 1
time: 0.9s","answer: right
token: 82, 81, 1
time: 0.6s","answer: right
token: 494, 81, 1
time: 3.1s",,"answer: wrong (D)
token: 107, 103, 4
time: 3.2s","answer: right
token: 323, 103, 220
time: 2.6s","answer: right
token: 107, 103, 4
time: 1.6s"
26,正确处理义与利的关系是商业道德的基本要求，我们要做到,以义制利,以利制义,利义合一,先利后义,A,"answer: right
token: 94, 93, 1
time: 0.2s",,"answer: right
token: 94, 93, 1
time: 0.9s","answer: right
token: 87, 86, 1
time: 0.6s","answer: right
token: 823, 86, 1
time: 5.5s",,"answer: wrong (C)
token: 114, 110, 4
time: 2.3s","answer: wrong (C)
token: 114, 110, 4
time: 0.7s","answer: right
token: 114, 110, 4
time: 3.0s"
27,商业良心在义利关系上主,先义后利、以义制利,先利后义、以利和义,先利后义、以义制利,先义后利、以利和义,A,"answer: right
token: 108, 107, 1
time: 0.2s",,"answer: right
token: 108, 107, 1
time: 1.2s","answer: right
token: 102, 101, 1
time: 0.5s","answer: right
token: 449, 101, 1
time: 3.2s",,"answer: right
token: 119, 115, 4
time: 4.1s","answer: right
token: 119, 115, 4
time: 0.8s","answer: right
token: 119, 115, 4
time: 1.5s"
28,保护产权的途径（）a国家政治；b国家法律；c道德观念；d遵纪守法的广泛宣传,ab,abcd,abc,bcd,B,"answer: right
token: 95, 91, 4
time: 0.3s",,"answer: right
token: 92, 91, 1
time: 0.8s","answer: wrong (A)
token: 88, 87, 1
time: 0.6s","answer: right
token: 715, 87, 1
time: 4.6s",,"answer: right
token: 115, 111, 4
time: 2.7s","answer: right
token: 115, 111, 4
time: 0.7s","answer: right
token: 115, 111, 4
time: 3.8s"
29,从伦理意义上看，斯密揭示了“经济人”成功有效的市场经济行为是,自利必然利他,自利不必利他,实现自我利益最大化,实现社会利益最大化,A,"answer: right
token: 98, 97, 1
time: 0.3s",,"answer: right
token: 98, 97, 1
time: 0.5s","answer: right
token: 97, 96, 1
time: 0.6s","answer: right
token: 741, 96, 1
time: 4.9s",,"answer: wrong (B)
token: 135, 131, 4
time: 2.4s","answer: right
token: 135, 131, 4
time: 1.0s","answer: right
token: 135, 131, 4
time: 1.7s"
30,只注意到了市场经济条件下出现的道德消极现象，没有看到利益驱动力对推动社会发展前进的巨大作用是,“上坡论”,“经济论”,“价值论”,“滑坡论”,D,"answer: right
token: 103, 96, 7
time: 0.3s",,"answer: right
token: 97, 96, 1
time: 0.6s","answer: right
token: 100, 99, 1
time: 0.7s","answer: right
token: 538, 99, 1
time: 3.6s",,"answer: right
token: 139, 135, 4
time: 2.2s","answer: wrong (A)
token: 391, 135, 256
time: 2.6s","answer: right
token: 139, 135, 4
time: 1.6s"
31,SA8000 是全球首个道德规范国际标准，它的中文意思是,社会道德标准,社会伦理标准,社会规范标准,社会责任标准,D,"answer: right
token: 101, 94, 7
time: 0.3s",,"answer: right
token: 95, 94, 1
time: 0.6s","answer: right
token: 86, 85, 1
time: 0.8s","answer: right
token: 267, 85, 1
time: 2.0s",,"answer: right
token: 121, 117, 4
time: 2.7s","answer: right
token: 121, 117, 4
time: 0.8s","answer: right
token: 121, 117, 4
time: 2.6s"
32,市场经济按其发展程度高低经历了实物交换关系、货币交换 关系和（）三种形态,商业交换关系,信贷交换关系,信用交换关系,纸币交换关系,C,"answer: right
token: 106, 100, 6
time: 0.3s",,"answer: right
token: 101, 100, 1
time: 0.9s","answer: right
token: 97, 96, 1
time: 0.8s","answer: right
token: 363, 96, 1
time: 2.5s",,"answer: right
token: 134, 130, 4
time: 2.7s","answer: right
token: 134, 130, 4
time: 0.8s","answer: right
token: 134, 130, 4
time: 1.7s"
33,跨国公司伦理关系整合的关键是,化解矛盾冲突,化解文化冲突,化解利益冲突,化解贸易冲突,B,"answer: right
token: 94, 87, 7
time: 0.3s",,"answer: right
token: 88, 87, 1
time: 1.7s","answer: right
token: 82, 81, 1
time: 0.7s","answer: wrong (C)
token: 502, 81, 1
time: 3.2s",,"answer: right
token: 119, 115, 4
time: 2.4s","answer: wrong (C)
token: 119, 115, 4
time: 0.8s","answer: right
token: 119, 115, 4
time: 2.5s"
