,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,在农业生产中被当作极其重要的劳动对象发挥作用，最主要的不可替代的基本生产资料是,农业生产工具,土地,劳动力,资金,B,"answer: right
token: 96, 91, 5
time: 0.5s",,"answer: right
token: 92, 91, 1
time: 1.1s","answer: right
token: 88, 87, 1
time: 1.1s","answer: right
token: 331, 87, 1
time: 3.2s",,"answer: right
token: 127, 123, 4
time: 2.4s","answer: right
token: 127, 123, 4
time: 1.1s","answer: right
token: 127, 123, 4
time: 1.7s","answer: right
token: 543, 236, 1
time: 2.8s","answer: right
token: 249, 248, 1
time: 0.7s"
1,在孵化室温度为24～26°C的条件下，立体孵化器孵化鸡蛋的最适温度为,36°C,37.8°C,36.5°C,37°C,B,"answer: right
token: 109, 101, 8
time: 0.5s",,"answer: right
token: 102, 101, 1
time: 8.0s","answer: right
token: 107, 106, 1
time: 1.0s","answer: right
token: 551, 106, 1
time: 4.1s","answer: right
token: 719, 106, 1
time: 9.1s","answer: right
token: 127, 123, 4
time: 2.3s","answer: right
token: 178, 123, 55
time: 1.6s","answer: right
token: 127, 123, 4
time: 2.5s","answer: right
token: 908, 244, 1
time: 6.6s","answer: right
token: 257, 256, 1
time: 0.9s"
2,农业税的计税标准，按（）来进行,当年产量,三年平均产量,常年产量,去年产量,C,"answer: right
token: 95, 88, 7
time: 0.5s",,"answer: right
token: 89, 88, 1
time: 1.0s","answer: right
token: 81, 80, 1
time: 1.4s","answer: right
token: 405, 80, 1
time: 3.3s",,"answer: right
token: 105, 101, 4
time: 2.6s","answer: right
token: 105, 101, 4
time: 1.1s","answer: right
token: 105, 101, 4
time: 2.5s","answer: right
token: 496, 231, 1
time: 3.1s","answer: right
token: 244, 243, 1
time: 0.9s"
3,使用年限长，可以多次参加生产过程而不改变原有实物形态的资产属于,有形资产,流动资产,无形资产,固定资产,D,"answer: right
token: 96, 90, 6
time: 0.4s",,"answer: right
token: 91, 90, 1
time: 7.5s","answer: right
token: 86, 85, 1
time: 1.1s","answer: right
token: 399, 85, 1
time: 2.9s",,"answer: right
token: 119, 115, 4
time: 2.6s","answer: right
token: 119, 115, 4
time: 1.0s","answer: right
token: 119, 115, 4
time: 2.7s","answer: right
token: 475, 236, 1
time: 2.8s","answer: right
token: 249, 248, 1
time: 1.7s"
4,纤维作物中的麻类，如苎麻、亚麻、大麻、黄麻、红麻的产品是利用,种子表面着生的纤维,叶片的叶纤维,根的导管纤维,茎杆的韧皮纤维,D,"answer: right
token: 114, 113, 1
time: 0.6s",,,"answer: right
token: 104, 103, 1
time: 0.7s","answer: right
token: 409, 103, 1
time: 3.3s",,"answer: right
token: 150, 146, 4
time: 2.6s","answer: right
token: 254, 146, 108
time: 1.9s","answer: right
token: 150, 146, 4
time: 2.4s","answer: right
token: 546, 253, 1
time: 3.2s","answer: right
token: 266, 265, 1
time: 0.7s"
5,现代化养猪生产，可使繁殖力高的母猪年提供肉猪达到多少以上,30头,20头,15头,10头,B,"answer: wrong (A)
token: 97, 96, 1
time: 0.4s",,"answer: wrong (A)
token: 97, 96, 1
time: 1.4s","answer: wrong (A)
token: 92, 91, 1
time: 1.1s","answer: right
token: 1066, 91, 1
time: 7.7s",,"answer: right
token: 114, 110, 4
time: 2.5s","answer: right
token: 114, 110, 4
time: 1.1s","answer: right
token: 114, 110, 4
time: 2.4s","answer: wrong (A)
token: 544, 238, 1
time: 3.1s","answer: wrong (A)
token: 251, 250, 1
time: 1.0s"
6,下列作物的果实为荚果的是,花生,向日葵,油菜,荞麦,A,"answer: right
token: 84, 83, 1
time: 0.5s",,"answer: right
token: 84, 83, 1
time: 3.5s","answer: right
token: 76, 75, 1
time: 1.0s","answer: right
token: 421, 75, 1
time: 3.3s",,"answer: right
token: 98, 94, 4
time: 2.7s","answer: right
token: 160, 94, 66
time: 1.5s","answer: right
token: 98, 94, 4
time: 2.7s","answer: right
token: 610, 232, 1
time: 3.4s","answer: right
token: 245, 244, 1
time: 0.8s"
7,某农户种植小麦，总产量5000公斤，总成本5000元，副产品成本1000元，则小麦主产品成本每公斤为,1.10元,0.90元,0.80元,1.50元,C,"answer: right
token: 129, 121, 8
time: 0.6s",,"answer: right
token: 122, 121, 1
time: 7.8s","answer: wrong (B)
token: 120, 119, 1
time: 1.2s","answer: right
token: 386, 119, 1
time: 2.8s",,"answer: right
token: 264, 132, 132
time: 4.3s","answer: right
token: 311, 132, 179
time: 2.1s","answer: right
token: 261, 132, 129
time: 3.4s","answer: right
token: 716, 258, 1
time: 3.5s","answer: wrong (B)
token: 271, 270, 1
time: 0.9s"
8,细毛羊的毛被全部由哪种毛组成,无髓毛,两型毛,有髓毛,刺毛,A,"answer: right
token: 91, 85, 6
time: 0.6s",,"answer: right
token: 86, 85, 1
time: 1.0s","answer: right
token: 81, 80, 1
time: 1.2s","answer: right
token: 446, 80, 1
time: 4.0s",,"answer: right
token: 109, 105, 4
time: 2.9s","answer: right
token: 163, 105, 58
time: 2.1s","answer: right
token: 109, 105, 4
time: 3.3s","answer: right
token: 523, 232, 1
time: 3.4s","answer: right
token: 245, 244, 1
time: 1.0s"
9,只有在一个（）的市场条件下，生产要素的价格才能充分反映要素的稀缺程度，产品价格才能真正体现供求关系,完全垄断,完全竞争,竞争垄断,垄断竞争,B,"answer: right
token: 105, 104, 1
time: 0.4s",,"answer: right
token: 105, 104, 1
time: 1.0s","answer: right
token: 97, 96, 1
time: 1.0s","answer: right
token: 484, 96, 0
time: 4.1s",,"answer: right
token: 145, 141, 4
time: 3.0s","answer: right
token: 145, 141, 4
time: 1.6s","answer: right
token: 145, 141, 4
time: 2.9s","answer: right
token: 465, 246, 1
time: 2.1s","answer: right
token: 259, 258, 1
time: 1.1s"
