,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,成组资料方差分析中，若 $S S_{组内}>S S_{组间}$，则,尚不能作结论,$M S_{组间}<S S_{组内}$,$M S_{组间}>S S_{组内}$,$M S_{组间}=S S_{组内}$,A,"answer: right
token: 127, 126, 1
time: 0.2s",,"answer: right
token: 127, 126, 1
time: 0.8s","answer: right
token: 124, 123, 1
time: 0.6s",,,,,"answer: right
token: 396, 143, 253
time: 8.0s","answer: wrong (B)
token: 1154, 271, 1
time: 5.6s",
1,某厂男职工 370 人，女职工 456 人，慢性苯中毒人数男女分别为 8 和 10 人，（456/370）×100%为,平均率,率,相对比,构成比,C,"answer: right
token: 129, 124, 5
time: 0.2s",,"answer: right
token: 125, 124, 1
time: 0.8s","answer: right
token: 113, 112, 1
time: 0.6s",,,,,"answer: right
token: 134, 130, 4
time: 2.0s","answer: right
token: 980, 255, 1
time: 5.8s",
2,以下关于t分布不正确的是,t分布曲线是一条曲线,在相同自由度时，|t|值越大，概率P越小,在相同t值时，双尾概率P为单尾概率P的两倍,t分布的极限分布是标准正态分布,A,"answer: right
token: 117, 116, 1
time: 0.2s",,"answer: right
token: 117, 116, 1
time: 1.1s","answer: right
token: 112, 111, 1
time: 0.7s",,,,,"answer: right
token: 153, 149, 4
time: 1.9s","answer: right
token: 2426, 262, 1
time: 16.6s",
3,在进行Wilcoxon配对法秩和检验时，以下何种检验假设是正确的,H_0:差值的总体中位数为0,H_0:两样本对应总体的中位数相同,H_0:两样本均数相同,H_0:两样本对应的总体分布相同,A,"answer: right
token: 123, 122, 1
time: 0.2s",,"answer: right
token: 123, 122, 1
time: 1.3s","answer: wrong (B)
token: 118, 117, 1
time: 0.6s",,,,,"answer: right
token: 410, 152, 258
time: 7.8s","answer: right
token: 658, 270, 1
time: 11.4s",
4,概率P的范围,O≤P≤1,O<P<1,-1≤P≤1,P>1,A,"answer: right
token: 83, 82, 1
time: 0.2s",,"answer: right
token: 83, 82, 1
time: 1.3s","answer: right
token: 80, 79, 1
time: 0.7s",,,,,"answer: right
token: 97, 93, 4
time: 1.5s","answer: right
token: 395, 229, 1
time: 8.5s",
5,设有X、Y两组数据，求得$\hat{y}=a+bx$，经统计学检验，在$\alpha=0.05$水平上拒绝$H_0: \beta=0$，则至少有95%的把握断言y与x之间在专业上有直线关系。这一结论,根据充分,很有科学性,略有问题,脱离实际,D,"answer: wrong (C)
token: 152, 146, 6
time: 0.3s",,"answer: wrong (C)
token: 147, 146, 1
time: 0.7s","answer: wrong (C)
token: 137, 136, 1
time: 0.6s",,,,,"answer: wrong (C)
token: 179, 175, 4
time: 2.9s","answer: wrong (C)
token: 720, 284, 1
time: 10.4s",
6,在$x^2$检验中，自由度的计算为,$n-1$,$(R-1)\times(C-1)$,$n$,$R\times C$,B,"answer: right
token: 93, 92, 1
time: 0.2s",,"answer: right
token: 93, 92, 1
time: 0.9s","answer: right
token: 94, 93, 1
time: 0.6s",,,,,"answer: right
token: 111, 107, 4
time: 1.7s","answer: right
token: 394, 237, 1
time: 6.0s",
7,为观察药物$A、B$对某病治愈率的差异有无显著性意义，某医生将100例该病患者随机分成两组，其中一组40人，服用A药;另一组60人，服用B药。结果发现，服用$\mathrm{A}$药的人中有30人治愈;服用B药的人中有11人治愈。应选用的统计学方法是:,回归分析,加权$\chi^2$检验,Kappa检验,$\chi^2$检验,D,"answer: right
token: 178, 170, 8
time: 0.3s",,"answer: right
token: 171, 170, 1
time: 0.7s","answer: right
token: 169, 168, 1
time: 0.5s",,,,,"answer: wrong (A)
token: 607, 213, 394
time: 10.1s","answer: right
token: 750, 308, 1
time: 7.4s",
8,若假设检验结果为 $|\mathrm{t}| \geqslant t_{0.05(v)}$，则说明,差异由抽样误差所致的概率大于 0.05,差异由抽样误差所致的概率等于或小于 0.05,差异是由于本质上有所不同所致的概率等于或小于 0.05,差异由抽样误差所致的概率等于或大于 0.05,B,"answer: right
token: 153, 152, 1
time: 0.2s",,"answer: right
token: 153, 152, 1
time: 0.6s","answer: right
token: 152, 151, 1
time: 0.7s",,,,,"answer: right
token: 418, 193, 225
time: 5.5s","answer: right
token: 758, 291, 1
time: 10.0s",
9,在以下检验方法中，不属于非参数统计方法(),$\mathrm{T}$检验,$\mathrm{t}$检验,$\mathrm{H}$检验,$\chi^2$检验,B,"answer: wrong (A)
token: 93, 92, 1
time: 0.3s",,"answer: right
token: 93, 92, 1
time: 3.9s","answer: wrong (A)
token: 93, 92, 1
time: 0.6s",,,,,"answer: right
token: 129, 125, 4
time: 1.7s","answer: right
token: 1521, 238, 1
time: 14.1s",
10,统计推断的内容是(),用样本指标估计相应总体指标,检验统计上的“假设”,$\mathrm{A}，\mathrm{B}$均是,A，B均不是,C,"answer: right
token: 100, 99, 1
time: 0.2s",,"answer: right
token: 100, 99, 1
time: 2.2s","answer: right
token: 95, 94, 1
time: 1.0s",,,,,"answer: right
token: 127, 123, 4
time: 3.1s","answer: right
token: 411, 241, 1
time: 6.2s",
11,四格表的自由度,等于样本含量减1,一定等于1,等于行数$\times$列数,不一定等于1,B,"answer: right
token: 93, 92, 1
time: 0.2s",,"answer: right
token: 93, 92, 1
time: 2.8s","answer: wrong (D)
token: 84, 83, 1
time: 0.8s",,,,,"answer: right
token: 108, 104, 4
time: 2.6s","answer: right
token: 624, 234, 1
time: 3.3s",
12,对两个数值变量同时进行了相关和回归分析， $r$ 有统计学意义 $(P<0.05)$，则,不能确定 $\mathrm{b}$ 有无统计学意义。,b 无统计学意义,b 有统计学意义,$b$ 有高度的统计学意义。,C,"answer: right
token: 124, 123, 1
time: 0.6s",,"answer: right
token: 124, 123, 1
time: 1.3s","answer: right
token: 117, 116, 1
time: 0.8s",,,,,"answer: right
token: 163, 159, 4
time: 2.8s","answer: right
token: 687, 264, 1
time: 14.4s",
