,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,7．（ 3分）下列各句中，加点的成语使用不恰当的一项是（ 　　）,"有些人取得一点成绩 ，便自命不凡 ，洋洋自得 ，尾巴都翘到天上去了 ，这
样的人终究不会有大的作为．","看到果农家里汗牛充栋的黄灿灿的橙子 ，我深感欣慰 ，因为这说明我们开
发的新品种产量高，品质好．","对那些少不更事的年轻人 ，我们不仅要多加指导 ，还要给他们更多的锻炼
机会，使他们尽快地成熟起来．","开发商们对商品房面积的计算方式一直讳莫如深 ，由此导致的开发商与业
主之间的经济纠纷经常发生．",B,,,,"answer: right
token: 225, 224, 1
time: 1.2s",,,,,
1,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"最近相关部门对两个小区的住房进行空气质量检测 ，结果有一半住房甲醛
超标，而引发甲醛超标最主要的原因是居民不合适的装修造成的．","李先生认为服饰公司侵犯了自己的权利，将之诉至法院，要求停止伤害 ，
并提出 30000元人民币的经济索赔和 2000元人民币的精神损害抚慰金．","长沙、株洲、湘潭城市群建设的启动 ，对道路、交通、媒体、通讯等行业
提出了新的要求，与此相关，长沙商业圈无疑也将面对重新洗牌的机会．","国家质检总局提出， “十一五 ”期间要形成 10个左右拥有自主知识产权、
国际竞争力较强、知名度较高、在国际市场占有一定份额的世界级品牌．",D,,,,"answer: right
token: 262, 261, 1
time: 1.1s",,,,,
2,"9．（ 3分）依次填入下面一段文字横线处的语句，衔接最恰当的一组是（ 　　） 
    玉树藏族自治州        ，       ，       ，       ，       ，         ，
玉树既是 “三江源头 ”，也是 “藏獒之乡 ”和“虫草之乡 ”。 
①东南与四川省甘孜藏族自治州毗连  
②是长江落差最大的标志点  
③与海西蒙古族藏族自治州、果洛藏族自治州等地相通  
④平均海拔 4000米以上， 最高点 6621米 
⑤位于青藏高原腹地，青海省南部  
  ⑥气候高寒。  
A．②④⑥⑤①③  B．③①②⑤⑥④  C．⑤③①④②⑥  D．④⑥⑤①③②",,,,,C,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
3,7．（ 3分）下列各句中，加点的成语使用不恰当的一项是（ 　　）,"近代中国内忧外患 ，强烈的社会责任感促使知识分子自觉自愿又步履维艰
地开始了从器物技术到思想文化的现代性追求．","经过长达两个星期的鏖战 ，本届世界锦标赛最终尘埃落定 ，中国队在赛程
极其不利的情况下，克服重重困难，获得冠军．","有人认为天才之作总是合天地之灵气，妙手偶得，据说《蓝色多瑙河 》就
是作者在用餐时灵感一来随手写在袖口上的．","碳排放过量会给地球生态环境带来严重的危害 ，如果不设法加以遏制 ，必
然会威胁人类生存，全球性大灾难指日可待．",D,,,,"answer: right
token: 250, 249, 1
time: 1.5s",,,,,
4,8．（ 3分）下列各句中，没有病句的一句是（ 　　）,"人才培养的质量是衡量一所大学办得好不好的重要因素 ，大力提升人才培
养水平是高等教育改革发展的战略课题．","为了更好地提高服务质量 ，我们必须坚持以人为本 ，最大限度地为旅客创
造和谐的候车环境、快乐的人性化服务．","这种感冒新药经过在北京 、上海、南京、杭州、开封等地医院的 400多个
病例中临床试用， 80%反映确实有疗效．","校庆在即 ，学校要求全体师生注重礼仪 ，热情待客 ，以带给从全国各地回
母校参加庆祝活动的校友感到宾至如归．",A,,,,"answer: wrong (D)
token: 231, 230, 1
time: 1.5s",,,,,
5,"9．（ 3分）依次填入下面一段文字横线处的语句，衔接最恰当的一组是（ 　　） 
     我国是食品生产和消费大国，        ，       ，       ，            
   ，       ，       。这样才能有效解决食品安全领域损害群众利益的突
出问题，切实增强消费安全感。  
①强化执法措施，严惩违法犯罪分子  
  ②食品产业涉及环节多，哪一环出现漏洞都会给食品安全带来严重威胁  
③创新食品安全监管机制  
④坚决淘汰劣质企业，以震慑所有企业使之不敢越雷池半步  
⑤保障食品安全需要生产经营者诚信自律 ，更需要严格的法律制度约束和有效监
管 
⑥因此，必须保持严厉打击违法违规行为的态势，及时消除各环节的隐患。  
A．②⑥①③④⑤  B．②⑤⑥①④③  C．⑤②⑥③①④  D．⑤⑥②④③①",,,,,C,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
6,7．（ 3分）下列各句中，加横线的成语使用恰当的一项是（ 　　）,"这位姑娘天生就眼睛深凹 ，鼻梁挺直 ，头发卷曲 ，身材苗条 ，好似芝兰玉
树，在黄皮肤黑眼睛的国度里，很容易被人认出．","为化解部分旅客的不满情绪 ，他们设立了 “旅客投诉中心 ”，此举说明他们
不光有良好的服务意识，还有 闻过则喜 的雅量．","一名惯偷在车站行窃后正要逃跑 ，两位守候多时的反扒队员突然拦住他的
去路，二人 上下其手 地将他摁倒，结果人赃俱获．","旧的梦想总是被新的梦想代替 ，很少有人能 从一而终 地记住自己做过的华
丽缥缈的梦，因为现实需要人们不断调整梦想．",B,,,,"answer: wrong (D)
token: 259, 258, 1
time: 1.4s",,,,,
7,8．（ 3分）下列各句中，没有语病的一句是（ 　　）,"凡事若不问青红皂白 ，把自己心中的愤怒发泄到臆想对象身上 ，很可能造
成对毫不知情的或有恩于己的善良的人遭到伤害．","她的创新设计投入生产仅三个月 ，就为公司带来了丰厚的利润 ，为这项设
计付出的所有努力和取得的成绩终于得到了回报．","哈佛燕京图书馆每年都有一次卖旧书的盛会 ，每次我都能在一堆堆五花八
门的书里淘到如金子般珍贵的书，并因此而兴奋．","欧债危机爆发之后 ，欧洲现在面临的最大困境是如何解决失业问题 ，严峻
的形势将巨大的挑战带给了欧洲各国的经济复苏．",C,,,,"answer: right
token: 240, 239, 1
time: 1.6s",,,,,
8,"9．（ 3分）依次填入下面一段文字横线处的语句，衔接最恰当的一组是（ 　　） 
    在我国古代，人们盛物用的器皿除陶器等之外，还有一种容器，是葫芦。                  
，                   。                    。                  ，                  。                
。 
  ①最早的记载见于《诗经》，如《公刘》篇中 “酌之用匏 ”的“匏”就是指葫芦  
②用葫芦作容器是先民们认识自然、利用自然的结果  
③葫芦是一种葫芦科爬藤植物的果实  
④葫芦成熟后，掏空里面的籽瓤，即可当容器使用  
⑤它大多呈哑铃状，上面小下面大  
⑥我国劳动人民使用葫芦盛物的历史非常悠久。  
A．⑥②③⑤④①  B．⑥①④②③⑤  C．⑤③④①⑥②  D．③⑤④⑥①②",,,,,D,,,,"answer: wrong()
token: 0, 0, 0
time: 0.0s",,,,,
9,7．（ 3分）下列各句中，加点的成语使用恰当的一项是（ 　　）,"他性格比较内向 ，平时沉默寡言 ，但是一到课堂上就变得振振有词 ，滔滔
不绝，所以他的课很受学生欢迎。","泰山几千年来都是文人墨客们向往的圣地 ，在浩如烟海的中华典籍中 ，留
下了众多颂扬泰山的诗词文章。","张经理语重心长的一席话 ，如电光火石 ，让小余心头淤积的阴霾顿时消散
，再次燃气争创销售佳绩的激情。","迅速崛起的快递行业 ，经过几年的激烈竞争 ，大部分企业都已经转行或倒
闭了，市场上只剩他们几家平分秋色。",B,,,,"answer: right
token: 242, 241, 1
time: 1.6s",,,,,
