,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,Es.型等水面蒸发器观测的日水面蒸发量与那里的大水体日蒸发量的关系是[ ]。,二者有一定的相关关系,二者相等,前者大于后者,前者小于后者,A,"answer: right
token: 105, 104, 1
time: 0.2s",,"answer: right
token: 105, 104, 1
time: 1.7s","answer: right
token: 103, 102, 1
time: 0.7s",,,,"answer: wrong (C)
token: 139, 135, 4
time: 0.7s","answer: wrong (C)
token: 139, 135, 4
time: 2.7s","answer: wrong (C)
token: 940, 254, 1
time: 5.7s",
1,进行水文调查的目的(),提高水文资料系列的一致性,提高水文资料系列的可靠性,提高水文资料系列的代表性,使水文系列延长一年,C,"answer: wrong (A)
token: 98, 97, 1
time: 0.3s",,"answer: right
token: 98, 97, 1
time: 0.6s","answer: right
token: 93, 92, 1
time: 0.5s",,,,"answer: wrong (B)
token: 128, 124, 4
time: 0.8s","answer: wrong (B)
token: 128, 124, 4
time: 2.6s","answer: right
token: 788, 245, 1
time: 5.1s",
2,某流域面积为 500km，多年平均流量为 7.5m/s，换算成多年平均径流深为[ ]。,887.7mm,473mm,805mm,500mm,B,"answer: wrong (A)
token: 115, 114, 1
time: 0.2s",,"answer: right
token: 115, 114, 1
time: 0.5s","answer: right
token: 113, 112, 1
time: 0.6s",,,,"answer: wrong (A)
token: 416, 117, 299
time: 2.5s","answer: wrong (A)
token: 384, 117, 267
time: 6.0s","answer: right
token: 962, 252, 3
time: 5.2s",
3,降雨期间，包气带(也称通气层) 土壤蓄水量达到田间持水量之后，其下渗能力为[ ]。,后损期的平均下渗率,初损期的下渗率,降雨强度,稳定下渗率,D,"answer: right
token: 127, 118, 9
time: 0.3s",,"answer: right
token: 119, 118, 1
time: 1.5s","answer: right
token: 112, 111, 1
time: 0.5s",,,,"answer: right
token: 147, 143, 4
time: 1.1s","answer: right
token: 147, 143, 4
time: 2.5s","answer: right
token: 1107, 264, 1
time: 7.6s",
4,因地表局部受热，气温向上递减率增大，大气稳定性降低，因而使地表的湿热空气膨胀，强烈上升而降雨，称这种降雨为[ ]。,锋面雨,对流雨,气旋雨,地形雨,B,"answer: right
token: 115, 114, 1
time: 0.2s",,"answer: right
token: 115, 114, 1
time: 1.5s","answer: right
token: 113, 112, 1
time: 0.4s",,,,"answer: wrong (A)
token: 418, 149, 269
time: 2.6s","answer: right
token: 153, 149, 4
time: 2.7s","answer: right
token: 508, 261, 1
time: 2.4s",
5,长江三峡工程位于[ ]。,重庆市的万县,湖北宜昌的三斗坪,湖北宜昌的南津关,湖北宜昌的茅坪,B,"answer: right
token: 99, 98, 1
time: 0.2s",,"answer: right
token: 99, 98, 1
time: 0.8s","answer: right
token: 93, 92, 1
time: 0.8s",,,,"answer: right
token: 127, 123, 4
time: 0.9s","answer: right
token: 127, 123, 4
time: 1.7s","answer: right
token: 478, 241, 1
time: 2.4s",
6,气温一定时，露点温度的高低与空气中水汽含量的关系是[ ],水汽含量越大露点越低,水汽含量越大露点越高,露点高低与水汽含量无关,露点高低与水汽含量关系不大,B,"answer: right
token: 119, 118, 1
time: 0.4s",,"answer: right
token: 119, 118, 1
time: 4.7s","answer: right
token: 114, 113, 1
time: 0.4s",,,,"answer: right
token: 374, 144, 230
time: 2.5s","answer: right
token: 148, 144, 4
time: 2.7s","answer: right
token: 572, 262, 1
time: 2.5s",
7,土层的包气带是指[ ]。,土壤的表层,地面到地下潜水面之间的土层,地下潜水面以下的土层,地面以下的整个土层,B,"answer: right
token: 102, 101, 1
time: 0.2s",,"answer: right
token: 102, 101, 1
time: 2.2s","answer: right
token: 94, 93, 1
time: 0.7s",,,,"answer: right
token: 184, 119, 65
time: 1.3s","answer: right
token: 123, 119, 4
time: 2.7s","answer: right
token: 511, 246, 1
time: 2.3s",
8,某流域的一场洪水中，地面径流的消退速度与地下径流的相比，其情况是[ ]。,前者大于后者,前者小于后者,前者小于等于后者,二者相等,A,"answer: right
token: 110, 109, 1
time: 0.2s",,"answer: right
token: 110, 109, 1
time: 2.5s","answer: wrong (B)
token: 100, 99, 1
time: 1.0s",,,,"answer: right
token: 266, 128, 138
time: 2.1s","answer: right
token: 132, 128, 4
time: 2.1s","answer: right
token: 579, 248, 1
time: 3.3s",
9,自然界的水文循环使水资源具有[ ]。,非再生性,随机性,地区性,再生性,D,"answer: right
token: 93, 87, 6
time: 0.2s",,"answer: right
token: 88, 87, 1
time: 0.6s","answer: right
token: 80, 79, 1
time: 0.9s",,,,"answer: right
token: 173, 98, 75
time: 1.5s","answer: right
token: 102, 98, 4
time: 2.6s","answer: right
token: 482, 230, 1
time: 2.7s",
