,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5,Grok 4.1 Fast Reasoning,Grok 4.1 Fast Non Reasoning
0,从这些饮食思想出发，中国人选择了“五谷为养、五果为助、五畜为益、五菜为充” 为饮食结 构，其中“五果”是指,李、杏、枣、桃、栗,李、杏、蕉、橘、柿,李、杏、枣、桃、柿,李、杏、蕉、桃、栗,A,"answer: right
token: 142, 141, 1
time: 0.2s",,"answer: right
token: 142, 141, 1
time: 0.6s","answer: wrong (C)
token: 133, 132, 1
time: 0.4s",,,"answer: right
token: 184, 180, 4
time: 2.6s","answer: right
token: 184, 180, 4
time: 0.7s","answer: right
token: 184, 180, 4
time: 2.7s","answer: right
token: 712, 283, 1
time: 3.5s",
1,我国酒器之多，种类之繁，造形之美，堪为世界之冠。商周时期酒器尤为复杂，其中不包括,盛酒器,饮酒器,分酒器,煮酒器,C,"answer: right
token: 113, 108, 5
time: 0.3s",,"answer: wrong (D)
token: 109, 108, 1
time: 0.5s","answer: wrong (D)
token: 105, 104, 1
time: 0.7s",,,"answer: wrong (D)
token: 138, 134, 4
time: 3.5s","answer: wrong (D)
token: 355, 134, 221
time: 2.6s","answer: wrong (D)
token: 138, 134, 4
time: 2.8s","answer: wrong (D)
token: 2018, 254, 1
time: 15.2s",
2,伊尹与商汤关于烹调方面的对话，就是饮食文化史上最早的文献,《吕氏春秋·本味》,《论语·乡党》,《尚书·酒诰》,《礼记·内则》,A,"answer: right
token: 109, 108, 1
time: 0.2s",,"answer: right
token: 109, 108, 1
time: 0.7s","answer: right
token: 103, 102, 1
time: 0.6s",,,"answer: right
token: 143, 139, 4
time: 2.6s","answer: right
token: 143, 139, 4
time: 0.9s","answer: right
token: 143, 139, 4
time: 2.4s","answer: right
token: 534, 249, 1
time: 3.0s",
3,现代宴会礼仪不包括,宴会饮酒礼仪,吃甜品礼仪,宴会饮食方礼仪,饮茶礼仪礼仪,B,"answer: wrong (C)
token: 89, 88, 1
time: 0.2s",,"answer: wrong (C)
token: 89, 88, 1
time: 0.5s","answer: wrong (D)
token: 90, 89, 1
time: 0.5s",,,"answer: wrong (D)
token: 127, 123, 4
time: 2.7s","answer: wrong (D)
token: 127, 123, 4
time: 1.0s","answer: right
token: 127, 123, 4
time: 2.4s","answer: wrong (D)
token: 2488, 241, 1
time: 18.1s",
4,下列菜肴中，不属于淮扬菜名菜的是,三套鸭,蟹粉狮子头,大煮干丝,汤爆双脆,D,"answer: right
token: 92, 91, 1
time: 0.2s",,"answer: right
token: 92, 91, 1
time: 0.5s","answer: right
token: 88, 87, 1
time: 0.6s",,,"answer: right
token: 121, 117, 4
time: 3.2s","answer: wrong (A)
token: 337, 117, 220
time: 2.6s","answer: right
token: 121, 117, 4
time: 2.8s","answer: right
token: 5206, 238, 1
time: 36.7s",
5,从这些饮食思想出发，中国人选择了“五谷为养、五果为助、五畜为益、五菜为充”为饮食结构， 其中“五畜”是指,牛、羊、猪、鸡、犬,牛、羊、鹅、鸡、鸭,牛、羊、兔、鸡、鸭,牛、羊、猪、鸡、鸭,A,"answer: right
token: 141, 140, 1
time: 0.3s",,"answer: right
token: 141, 140, 1
time: 0.6s","answer: wrong (D)
token: 131, 130, 1
time: 0.6s",,,"answer: right
token: 194, 190, 4
time: 2.7s","answer: right
token: 194, 190, 4
time: 0.8s","answer: right
token: 194, 190, 4
time: 2.7s","answer: right
token: 819, 282, 1
time: 4.7s",
6,下列关于山西风味说法错误的是,山西风味的基本味型，以咸香为主，甜酸为辅,山西大厨炒菜不过油，不换锅，芡汁现炒现兑，急火短炒，一锅成菜,山西风味，具有油大色重，口味咸鲜偏酸,山西民间以“十八碗”为代表，盛行经济实惠的蒸菜,B,"answer: wrong (C)
token: 147, 146, 1
time: 0.2s",,"answer: wrong (C)
token: 147, 146, 1
time: 0.8s","answer: wrong (C)
token: 146, 145, 1
time: 0.6s",,,"answer: right
token: 203, 199, 4
time: 2.7s","answer: wrong (A)
token: 530, 199, 331
time: 2.6s","answer: wrong (A)
token: 203, 199, 4
time: 2.7s","answer: wrong (C)
token: 1308, 293, 1
time: 9.8s",
7,下列不属于随园菜特点的是,注重原料选择和搭配,讲究色、香、味、形、器及进食艺术,极其讲究富贵和滋补,注重筵席,D,"answer: wrong (C)
token: 100, 99, 1
time: 0.3s",,"answer: wrong (C)
token: 100, 99, 1
time: 1.1s","answer: wrong (C)
token: 100, 99, 1
time: 0.6s",,,"answer: wrong (C)
token: 130, 126, 4
time: 3.3s","answer: wrong (C)
token: 130, 126, 4
time: 0.8s","answer: wrong (C)
token: 130, 126, 4
time: 2.6s","answer: wrong (C)
token: 605, 249, 1
time: 3.3s",
8,下列不属于液态介质导热制熟的方法的是,氽溜,白焯,蒸馏,炸烹,C,"answer: right
token: 91, 85, 6
time: 0.3s",,"answer: right
token: 86, 85, 1
time: 0.7s","answer: right
token: 83, 82, 1
time: 0.6s",,,"answer: right
token: 107, 103, 4
time: 2.4s","answer: wrong (D)
token: 245, 103, 142
time: 1.7s","answer: right
token: 107, 103, 4
time: 2.5s","answer: right
token: 580, 233, 1
time: 3.3s",
9,满族传统名菜有,黄氏蒸鸡,莲花鸡签,一品锅,白肉血汤,D,"answer: right
token: 93, 86, 7
time: 0.3s",,"answer: right
token: 87, 86, 1
time: 1.0s","answer: wrong (C)
token: 79, 78, 1
time: 0.6s",,,"answer: right
token: 107, 103, 4
time: 2.6s","answer: right
token: 107, 103, 4
time: 0.9s","answer: right
token: 107, 103, 4
time: 2.6s","answer: wrong (C)
token: 496, 229, 1
time: 2.7s",
10,首先研制“红楼菜肴〞，打出“红楼宴〞牌子的是,南京的金陵饭店,北京的红楼饭庄,北京的来今雨轩饭庄,扬州的西园大酒店,C,"answer: wrong (B)
token: 114, 105, 9
time: 0.3s",,"answer: right
token: 106, 105, 1
time: 2.3s","answer: wrong (B)
token: 103, 102, 1
time: 0.7s",,,"answer: wrong (B)
token: 144, 140, 4
time: 2.5s","answer: wrong (B)
token: 144, 140, 4
time: 1.1s","answer: right
token: 144, 140, 4
time: 2.3s","answer: wrong (A)
token: 570, 256, 1
time: 2.9s",
