,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,"1. （5 分) 已知集合 $A=\{x|| x \mid \leqslant 2, x \in R\}, B=\{x \mid \sqrt{x} \leqslant 4, x \in Z\}$, 则 $A \cap B=(\quad)$","$(0,2)$","$[0,2]$","$\{0,2\}$","$\{0,1,2\}$",D,,,,"answer: wrong (A)
token: 707, 134, 573
time: 2.3s",,,,,
1,"2. （5 分) 平面向量 $\vec{a}, \vec{b}$, 已知 $\vec{a}=(4,3), 2 \vec{a}+\vec{b}=， 3,18 ＼mathrm{~, ~ 则 ~} \vec{a}, \vec{b}$ 夹角 的余弦值等于 ( $)$",$\frac{8}{65}$,$-\frac{8}{65}$,$\frac{16}{65}$,$-\frac{16}{65}$,C,,,,"answer: wrong (A)
token: 704, 166, 538
time: 2.0s",,,,,
2,"3. (5 分) 已知复数 $Z=\frac{\sqrt{3}+i}{(1-\sqrt{3} i)^{2}}$, 则 $|z|=(\quad)$",$\frac{1}{4}$,$\frac{1}{2}$,1,2,B,,,,"answer: right
token: 113, 112, 1
time: 0.8s",,,,,
3,"4. (5 分) 曲线 $y=x^{3}-2 x+1$ 在点 $(1,0)$ 处的切线方程为（ $)$",$y=x-1$,$y=-x+1$,$y=2 x-2$,$y=-2 x+2$,A,,,,"answer: right
token: 122, 121, 1
time: 1.2s",,,,,
4,"5. (5 分) 中心在原点, 焦点在 $\mathrm{x}$ 轴上的双曲线的一条渐近线经过点 $(4,2)$, 则它的离心率为 $(\quad)$",$\sqrt{6}$,$\sqrt{5}$,$\frac{\sqrt{6}}{2}$,$\frac{\sqrt{5}}{2}$,D,,,,"answer: wrong (A)
token: 577, 128, 449
time: 1.9s",,,,,
5,"7. （5 分) 设长方体的长、宽、高分别为 $2 a 、 a 、 a$, 其顶点都在一个球面上, 则该球的表面积为 $(\quad)$",$3 \pi a^{2}$,$6 \pi a^{2}$,$12 \pi a^{2}$,$24 \pi a^{2}$,B,,,,"answer: wrong (C)
token: 133, 132, 1
time: 0.7s",,,,,
6,"9. （5 分）设偶函数 $f(x)$ 满足 $f(x)=2^{x}-4(x \geqslant 0)$, 则 $\{x \mid f(x-2)>0\}=($ )",$\{x \mid x<-2$ 或 $x>4\}$,$\{x \mid x<0$ 或 $x>4\}$,$\{x \mid x<0$ 或 $x>6\}$,$\{x \mid x<-2$ 或 $x>2\}$,B,,,,"answer: wrong (A)
token: 1003, 160, 843
time: 3.1s",,,,,
7,"10. (5 分) 若 $\cos \alpha=-\frac{4}{5}, \alpha$ 是第三象限的角, 则 $\sin \left(\alpha+\frac{\pi}{4}\right)=(\quad)$",$-\frac{7 \sqrt{2}}{10}$,$\frac{7 \sqrt{2}}{10}$,$\frac{\sqrt{2}}{10}$,$\frac{\sqrt{2}}{10}$,A,,,,"answer: right
token: 776, 147, 629
time: 2.4s",,,,,
8,"1. （5 分）已知集合 $M=\{0,1 ， 2 ， 3 ， 4\}, N=\{1,3 ， 5\}, P=M \cap N$, 则 $P$ 的子 集共有 $(\quad)$",2 个,4 个,6 个,8 个,B,,,,"answer: right
token: 120, 119, 1
time: 0.6s",,,,,
9,2. (5 分) 复数 $\frac{5 i}{1-2 i}=(\quad)$,$2-\mathrm{i}$,$1-2 \mathrm{i}$,$-2+i$,$-1+2 i$,C,,,,"answer: wrong (A)
token: 551, 104, 447
time: 2.3s",,,,,
10,"3. （5 分) 下列函数中, 既是偶函数又在 $(0,+\infty)$ 上单调递增的函数是 $(\quad)$",$y=2 x^{3}$,$y=|x|+1$,$y=-x^{2}+4$,$y=2^{-|x|}$,B,,,,"answer: wrong (D)
token: 124, 123, 1
time: 0.4s",,,,,
11,4. (5 分) 椭圆 $\frac{x^{2}}{16}+\frac{y^{2}}{8}=1$ 的离心率为（）,$\frac{1}{3}$,$\frac{1}{2}$,$\frac{\sqrt{3}}{3}$,$\frac{\sqrt{2}}{2}$,D,,,,"answer: wrong (C)
token: 124, 123, 1
time: 0.6s",,,,,
12,"6. （5 分) 有 3 个兴趣小组, 甲、乙两位同学各自参加其中一个小组, 每位同 学参加各个小组的可能性相同, 则这两位同学参加同一个兴趣小组的概率为 ( )",$\frac{1}{3}$,$\frac{1}{2}$,$\frac{2}{3}$,$\frac{3}{4}$,A,,,,"answer: right
token: 661, 131, 530
time: 1.7s",,,,,
13,"7. (5 分) 已知角 $\theta$ 的顶点与原点重合, 始边与 $\mathrm{x}$ 轴的正半轴重合, 终边在直 线 $y=2 x$ 上, 则 $\cos 2 \theta=(\quad)$",$-\frac{4}{5}$,$-\frac{3}{5}$,$\frac{3}{5}$,$\frac{4}{5}$,B,,,,"answer: wrong (C)
token: 146, 145, 1
time: 0.4s",,,,,
14,"10. (5 分) 在下列区间中, 函数 $f(x)=e^{x}+4 x-3$ 的零点所在的区间为 $(\quad)$","$\left(\frac{1}{4}, \frac{1}{2}\right)$","$\left(-\frac{1}{4}, 0\right)$","$\left(0, \frac{1}{4}\right)$","$\left(\frac{1}{2}, \frac{3}{4}\right)$",A,,,,"answer: right
token: 1254, 156, 1098
time: 4.2s",,,,,
