id,source,domain,question_type,question,options,answer,reasoning_required,notes,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
001,GAOKAO-Bench,math,fill_blank,若 a>0 且 a+1/a=3，则 a²+1/a²=？,{},7,high,平方恒等,"answer: right
token: 54, 53, 1
time: 0.5s","answer: right
token: 54, 53, 1
time: 3.4s","answer: right
token: 54, 53, 1
time: 3.1s","answer: right
token: 53, 52, 1
time: 1.4s","answer: right
token: 440, 52, 0
time: 3.2s",,"answer: right
token: 69, 64, 5
time: 2.8s","answer: right
token: 69, 64, 5
time: 1.1s","answer: wrong (由 a + 1/a = 3，两边平方得：

a² + 2 + 1/a² = 9

因此 a² + 1/a² = 7

7)
token: 119, 64, 55
time: 2.2s"
002,GAOKAO-Bench,math,fill_blank,已知 x+y=1，xy=-2，则 x²+y²=？,{},5,high,基本恒等式,"answer: wrong (3)
token: 51, 50, 1
time: 0.6s","answer: right
token: 51, 50, 1
time: 10.9s","answer: right
token: 51, 50, 1
time: 2.6s","answer: right
token: 49, 48, 1
time: 1.5s","answer: right
token: 203, 48, 1
time: 2.4s",,"answer: right
token: 64, 59, 5
time: 2.8s","answer: wrong (根据已知条件：
- x + y = 1
- xy = -2

利用恒等式：x² + y² = (x + y)² - 2xy

x² + y² = 1² - 2(-2) = 1 + 4 = 5

**5**)
token: 139, 59, 80
time: 1.4s","answer: wrong (x² + y² = (x + y)² - 2xy = 1² - 2(-2) = 1 + 4 = 5

**5**)
token: 103, 59, 44
time: 2.6s"
003,GAOKAO-Bench,math,fill_blank,函数 f(x)=x²-4x+5 的最小值是？,{},1,high,配方,"answer: right
token: 50, 49, 1
time: 0.6s","answer: right
token: 50, 49, 1
time: 6.4s","answer: right
token: 50, 49, 1
time: 4.8s","answer: right
token: 46, 45, 1
time: 1.3s","answer: right
token: 331, 45, 1
time: 3.1s",,"answer: right
token: 64, 59, 5
time: 2.5s","answer: right
token: 64, 59, 5
time: 1.2s","answer: right
token: 64, 59, 5
time: 2.6s"
004,GAOKAO-Bench,math,fill_blank,不等式 |x-1|≤2 的解集是？,{},"[-1,3]",high,绝对值,"answer: wrong ([-1, 3])
token: 53, 47, 6
time: 0.6s","answer: wrong ([−1, 3])
token: 54, 47, 7
time: 8.0s","answer: wrong ([-1, 3])
token: 53, 47, 6
time: 3.3s","answer: wrong ([-1, 3])
token: 50, 44, 6
time: 1.4s","answer: wrong ({x|-1≤x≤3})
token: 348, 44, 9
time: 2.8s",,"answer: wrong ([-1, 3])
token: 64, 55, 9
time: 2.6s","answer: wrong ([-1, 3])
token: 64, 55, 9
time: 1.0s","answer: wrong ({x|-1≤x≤3} 或 [-1,3])
token: 77, 55, 22
time: 3.6s"
005,GAOKAO-Bench,math,fill_blank,若 logₐ8=3，则 a=？,{},2,high,对数定义,"answer: right
token: 44, 43, 1
time: 0.6s","answer: right
token: 44, 43, 1
time: 3.4s","answer: right
token: 44, 43, 1
time: 3.4s","answer: right
token: 43, 42, 1
time: 1.4s","answer: right
token: 205, 42, 1
time: 2.7s",,"answer: right
token: 57, 52, 5
time: 3.0s","answer: wrong (a = 2)
token: 59, 52, 7
time: 1.0s","answer: right
token: 57, 52, 5
time: 2.4s"
006,GAOKAO-Bench,math,fill_blank,等差数列中 a₁=2，a₅=10，则公差 d=？,{},2,high,等差数列,"answer: right
token: 57, 56, 1
time: 0.6s","answer: right
token: 57, 56, 1
time: 3.2s","answer: right
token: 57, 56, 1
time: 3.6s","answer: right
token: 51, 50, 1
time: 1.3s","answer: right
token: 309, 50, 1
time: 2.2s",,"answer: right
token: 67, 62, 5
time: 3.3s","answer: right
token: 67, 62, 5
time: 1.1s","answer: right
token: 67, 62, 5
time: 2.2s"
007,GAOKAO-Bench,math,fill_blank,若集合 A={x|x²-1<0}，则 A=？,{},"(-1,1)",high,不等式,"answer: wrong ({x | -1 < x < 1})
token: 59, 49, 10
time: 0.6s","answer: wrong ((-1, 1))
token: 55, 49, 6
time: 9.1s","answer: wrong ({x | -1 < x < 1})
token: 59, 49, 10
time: 3.3s","answer: wrong ((-1, 1))
token: 53, 47, 6
time: 3.3s","answer: wrong ({x|-1<x<1})
token: 340, 47, 9
time: 3.1s",,"answer: wrong ((-1, 1))
token: 67, 58, 9
time: 3.2s","answer: wrong (A = (-1, 1))
token: 69, 58, 11
time: 1.1s","answer: wrong ({x|-1<x<1})
token: 70, 58, 12
time: 1.8s"
008,GAOKAO-Bench,math,fill_blank,若函数 f(x)=ax²+bx 在 x=1 处取极小值，则 b 与 a 的关系是？,{},b=-2a,high,导数思想,"answer: wrong (b = -2a)
token: 65, 60, 5
time: 0.6s","answer: wrong (b = -2a)
token: 65, 60, 5
time: 13.2s","answer: wrong (b = -2a)
token: 65, 60, 5
time: 6.4s","answer: wrong (b = -2a)
token: 62, 57, 5
time: 1.6s","answer: wrong (b = -2a 且 a > 0)
token: 793, 57, 11
time: 5.5s",,"answer: wrong (b = -2a)
token: 85, 77, 8
time: 2.9s","answer: wrong (b = -2a（其中 a > 0）

或写为：b/a = -2，且 a > 0)
token: 112, 77, 35
time: 1.4s","answer: wrong (b = -2a)
token: 85, 77, 8
time: 2.9s"
009,GAOKAO-Bench,math,fill_blank,已知 sinθ=3/5 且 θ∈第二象限，则 cosθ=？,{},-4/5,high,象限判断,"answer: right
token: 58, 54, 4
time: 0.6s","answer: right
token: 58, 54, 4
time: 3.6s","answer: right
token: 58, 54, 4
time: 3.2s","answer: right
token: 54, 50, 4
time: 1.2s","answer: right
token: 348, 50, 4
time: 2.9s",,"answer: right
token: 73, 66, 7
time: 3.0s","answer: right
token: 73, 66, 7
time: 1.2s","answer: right
token: 73, 66, 7
time: 1.9s"
010,GAOKAO-Bench,math,fill_blank,"若圆 x²+y²=4 上一点到 (2,0) 的最小距离是？",{},0,high,几何意义,"answer: right
token: 54, 53, 1
time: 0.6s","answer: right
token: 54, 53, 1
time: 5.3s","answer: right
token: 54, 53, 1
time: 3.8s","answer: right
token: 51, 50, 1
time: 1.4s","answer: right
token: 388, 50, 1
time: 3.3s",,"answer: wrong (0


圆 x²+y²=4 的圆心在 (0,0),半径为 2。

点 (2,0) 到圆心的距离为 2。

因为点 (2,0) 到圆心的距离等于半径,所以点 (2,0) 在圆上。

因此圆上一点到 (2,0) 的最小距离是 0。)
token: 184, 67, 117
time: 4.2s","answer: right
token: 72, 67, 5
time: 1.2s","answer: right
token: 72, 67, 5
time: 2.3s"
011,GAOKAO-Bench,physics,fill_blank,物体做匀速圆周运动，其向心加速度方向始终指向？,{},圆心,high,概念准确性,"answer: right
token: 53, 51, 2
time: 0.6s","answer: right
token: 53, 51, 2
time: 4.6s","answer: right
token: 53, 51, 2
time: 4.7s","answer: right
token: 48, 46, 2
time: 1.4s","answer: right
token: 211, 46, 2
time: 2.4s",,"answer: right
token: 69, 62, 7
time: 3.1s","answer: right
token: 69, 62, 7
time: 1.6s","answer: right
token: 69, 62, 7
time: 2.4s"
012,GAOKAO-Bench,physics,fill_blank,自由落体运动中，忽略空气阻力，物体的加速度大小为？,{},g,high,物理常量,"answer: wrong (9.8 m/s²)
token: 56, 50, 6
time: 0.6s","answer: wrong (9.8 m/s²)
token: 56, 50, 6
time: 5.0s","answer: wrong (9.8 m/s²)
token: 56, 50, 6
time: 3.0s","answer: right
token: 48, 47, 1
time: 1.3s","answer: wrong (g（或 9.8 m/s²）)
token: 591, 47, 12
time: 4.4s",,"answer: wrong (g (或 9.8 m/s²))
token: 80, 64, 16
time: 3.3s","answer: wrong (9.8 m/s²（或10 m/s²）)
token: 85, 64, 21
time: 1.1s","answer: wrong (g（或9.8 m/s²，或约10 m/s²）)
token: 88, 64, 24
time: 2.9s"
