,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
0,"在文学上积极鼓吹""小说界革命""的是",蔡元培,黄遵宪,胡适,梁启超,D,"answer: right
token: 95, 88, 7
time: 0.2s",,"answer: right
token: 89, 88, 1
time: 0.9s","answer: right
token: 81, 80, 1
time: 0.6s",,,"answer: right
token: 110, 106, 4
time: 2.2s","answer: right
token: 110, 106, 4
time: 0.8s","answer: right
token: 110, 106, 4
time: 1.8s"
1,挪威剧作家易卜生的《玩偶之家》从题材内容来看属于,社会问题剧,史诗剧,童话剧,宗教剧,A,"answer: right
token: 96, 95, 1
time: 0.2s",,"answer: right
token: 96, 95, 1
time: 1.1s","answer: right
token: 87, 86, 1
time: 0.6s",,,"answer: right
token: 121, 117, 4
time: 2.6s","answer: right
token: 221, 117, 104
time: 1.6s","answer: right
token: 121, 117, 4
time: 1.7s"
2,《红字》的作者是美国作家,奥尼尔,福克纳,爱默生,霍桑,D,"answer: right
token: 88, 87, 1
time: 0.2s",,"answer: right
token: 88, 87, 1
time: 1.1s","answer: right
token: 77, 76, 1
time: 0.6s",,,"answer: right
token: 102, 98, 4
time: 2.3s","answer: right
token: 102, 98, 4
time: 0.7s","answer: right
token: 102, 98, 4
time: 2.4s"
3,艺术作品通过广播、网络等形式进行传播，属于,现场表演传播,展览性传播,口头传播,大众传播,D,"answer: right
token: 97, 91, 6
time: 0.2s",,"answer: right
token: 92, 91, 1
time: 0.6s","answer: right
token: 83, 82, 1
time: 0.7s",,,"answer: right
token: 113, 109, 4
time: 2.1s","answer: right
token: 113, 109, 4
time: 0.7s","answer: right
token: 113, 109, 4
time: 2.3s"
4,在西方，首次较有系统地阐述艺术起源于模仿的理论家是,苏格拉底,康德,贺拉斯,亚里士多德,D,"answer: right
token: 101, 93, 8
time: 0.3s",,"answer: right
token: 94, 93, 1
time: 0.7s","answer: right
token: 90, 89, 1
time: 0.6s",,,"answer: right
token: 120, 116, 4
time: 2.2s","answer: right
token: 120, 116, 4
time: 0.8s","answer: right
token: 120, 116, 4
time: 2.4s"
5,在我国近代，提出我手写我口、'我口写我心，提倡诗界革命的人是,黄遵宪,龚自珍,魏源,蔡元培,A,"answer: right
token: 101, 100, 1
time: 0.2s",,"answer: right
token: 101, 100, 1
time: 0.8s","answer: right
token: 95, 94, 1
time: 0.7s",,,"answer: right
token: 123, 119, 4
time: 2.4s","answer: right
token: 203, 119, 84
time: 1.7s","answer: right
token: 123, 119, 4
time: 2.6s"
6,电视剧《京华烟云》根据同名小说改编，原作作者是,沈从文,林语堂,周作人,老舍,B,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 0.7s","answer: right
token: 84, 83, 1
time: 0.6s",,,"answer: right
token: 111, 107, 4
time: 3.3s","answer: right
token: 111, 107, 4
time: 1.0s","answer: right
token: 111, 107, 4
time: 1.5s"
7,梵高是哪个国家著名画家。,英国,丹麦,荷兰,法国,C,"answer: right
token: 80, 79, 1
time: 0.2s",,"answer: right
token: 80, 79, 1
time: 2.7s","answer: right
token: 74, 73, 1
time: 0.7s",,,"answer: right
token: 98, 94, 4
time: 2.8s","answer: right
token: 112, 94, 18
time: 1.3s","answer: right
token: 98, 94, 4
time: 2.4s"
8,提出境界论的近代文艺理论家是,鲁迅,曹雪芹,王国维,刘熙载,C,"answer: right
token: 86, 85, 1
time: 0.2s",,,"answer: right
token: 79, 78, 1
time: 0.7s",,,"answer: right
token: 106, 102, 4
time: 2.5s","answer: right
token: 106, 102, 4
time: 0.7s","answer: right
token: 106, 102, 4
time: 2.3s"
9,被定义为“主体感受生活、欣赏艺术、体验和孕育意象的敏锐性和悟性”的是,艺术敏感,艺术想象力,艺术灵感,艺术技巧,A,"answer: right
token: 104, 103, 1
time: 0.4s",,"answer: right
token: 104, 103, 1
time: 8.4s","answer: right
token: 95, 94, 1
time: 0.6s",,,"answer: right
token: 137, 133, 4
time: 2.8s","answer: right
token: 137, 133, 4
time: 0.9s","answer: right
token: 137, 133, 4
time: 2.6s"
10,长鼓舞是下列哪一个民族的舞蹈,鄂伦春族,满族,蒙古族,朝鲜族,D,"answer: right
token: 91, 86, 5
time: 0.3s",,"answer: right
token: 87, 86, 1
time: 0.7s","answer: right
token: 80, 79, 1
time: 0.6s",,,"answer: right
token: 113, 109, 4
time: 2.4s","answer: right
token: 177, 109, 68
time: 1.1s","answer: right
token: 113, 109, 4
time: 2.3s"
11,《巴黎圣母院》的建筑形式属于,拜占庭式建筑,哥特式建筑,罗马式建筑,拉丁式建筑,B,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 0.8s","answer: right
token: 85, 84, 1
time: 0.6s",,,"answer: right
token: 121, 117, 4
time: 2.4s","answer: right
token: 185, 117, 68
time: 1.5s","answer: right
token: 121, 117, 4
time: 1.8s"
12,我国著名的瓷都是,山东淄博,江苏宜兴,江西景德镇,广东石湾,C,"answer: right
token: 85, 84, 1
time: 0.2s",,"answer: right
token: 85, 84, 1
time: 0.8s","answer: right
token: 78, 77, 1
time: 0.6s",,,"answer: right
token: 105, 101, 4
time: 2.7s","answer: right
token: 105, 101, 4
time: 1.2s","answer: right
token: 105, 101, 4
time: 1.7s"
